timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T20:44:00Z,24s,219.262485,5.582848
2022-09-11T20:44:00Z,24s,219.262485,5.582848
2022-09-11T20:44:30Z,30s,725.026667,6.979584
2022-09-11T20:44:43Z,13s,735.240267,7.053312
2022-09-11T20:44:57Z,14s,700.939011,6.71744
2022-09-11T20:45:08Z,11s,734.345284,6.836224
2022-09-11T20:45:30Z,22s,721.253738,6.877184
2022-09-11T20:45:41Z,11s,748.137217,6.73792
2022-09-11T20:45:51Z,10s,757.082011,6.877184
2022-09-11T20:46:03Z,12s,728.912256,6.84032
2022-09-11T20:46:23Z,20s,701.822903,6.672384
2022-09-11T20:46:34Z,11s,773.787448,6.836224
2022-09-11T20:46:51Z,17s,702.512466,6.705152
2022-09-11T20:47:17Z,26s,733.319314,6.598656
2022-09-11T20:47:17Z,26s,733.319314,6.598656
2022-09-11T20:47:36Z,19s,746.982748,6.725632
2022-09-11T20:47:49Z,13s,729.286768,6.590464
2022-09-11T20:48:06Z,17s,714.232248,6.606848
2022-09-11T20:48:25Z,19s,720.630078,7.110656
2022-09-11T20:48:43Z,18s,723.587423,7.049216
2022-09-11T20:48:55Z,12s,752.482602,7.077888
2022-09-11T20:49:11Z,16s,727.684661,7.110656
2022-09-11T20:49:24Z,13s,713.824547,7.102464
2022-09-11T20:49:42Z,18s,719.323315,6.938624
2022-09-11T20:49:58Z,16s,735.510782,7.073792
2022-09-11T20:50:12Z,14s,733.144203,7.028736
2022-09-11T20:50:26Z,14s,741.228322,7.10656
2022-09-11T20:50:38Z,12s,740.611832,6.914048
2022-09-11T20:50:50Z,12s,723.652495,6.782976
2022-09-11T20:51:06Z,16s,698.131314,7.032832
