timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T20:59:52Z,19s,176.081373,5.14048
2022-09-11T21:00:04Z,12s,299.963804,5.156864
2022-09-11T21:00:29Z,25s,304.783914,5.234688
2022-09-11T21:00:29Z,25s,304.783914,5.234688
2022-09-11T21:00:48Z,19s,584.585586,7.512064
2022-09-11T21:01:06Z,18s,601.626815,7.622656
2022-09-11T21:01:25Z,19s,652.71693,7.327744
2022-09-11T21:01:38Z,13s,629.82413,7.380992
2022-09-11T21:01:53Z,15s,596.007512,7.245824
2022-09-11T21:02:07Z,14s,634.096503,6.991872
2022-09-11T21:02:19Z,12s,643.752873,7.417856
2022-09-11T21:02:46Z,27s,621.180749,6.59456
2022-09-11T21:02:46Z,27s,621.180749,6.59456
2022-09-11T21:03:13Z,27s,632.282737,6.754304
2022-09-11T21:03:30Z,17s,647.679243,6.529024
2022-09-11T21:03:30Z,17s,647.679243,6.529024
2022-09-11T21:03:50Z,20s,626.343534,6.619136
2022-09-11T21:04:03Z,13s,603.311657,7.122944
2022-09-11T21:04:17Z,14s,627.251771,6.803456
2022-09-11T21:04:36Z,19s,636.27344,6.639616
2022-09-11T21:04:52Z,16s,641.268403,6.692864
2022-09-11T21:05:06Z,14s,620.554344,6.684672
2022-09-11T21:05:21Z,15s,640.130525,6.959104
2022-09-11T21:05:39Z,18s,618.877231,6.94272
2022-09-11T21:05:50Z,11s,623.221062,6.92224
2022-09-11T21:06:08Z,18s,634.211494,6.721536
2022-09-11T21:06:26Z,18s,633.433091,6.754304
2022-09-11T21:06:44Z,18s,614.882838,6.897664
2022-09-11T21:06:58Z,14s,630.116661,6.885376
2022-09-11T21:07:13Z,15s,662.909569,6.90176
