timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T21:10:46Z,13s,9.70289,5.09952
2022-09-11T21:10:58Z,12s,95.982261,5.500928
2022-09-11T21:11:17Z,19s,173.41617,6.053888
2022-09-11T21:11:28Z,11s,183.345757,6.152192
2022-09-11T21:11:42Z,14s,178.441411,6.070272
2022-09-11T21:11:54Z,12s,180.828426,6.209536
2022-09-11T21:12:05Z,11s,174.587572,6.090752
2022-09-11T21:12:23Z,18s,171.942208,6.06208
2022-09-11T21:12:36Z,13s,184.368005,6.189056
2022-09-11T21:12:49Z,13s,181.902993,6.070272
2022-09-11T21:13:07Z,18s,178.128305,6.057984
2022-09-11T21:13:25Z,18s,178.019754,6.070272
2022-09-11T21:13:41Z,16s,172.875012,6.189056
2022-09-11T21:13:58Z,17s,177.140991,6.057984
2022-09-11T21:14:13Z,15s,177.753847,6.057984
