timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T21:26:49Z,16s,141.242963,5.545984
2022-09-11T21:27:04Z,15s,177.209373,6.08256
2022-09-11T21:27:30Z,26s,179.967676,5.914624
2022-09-11T21:27:44Z,14s,187.341992,5.91872
2022-09-11T21:28:01Z,17s,180.863306,6.053888
2022-09-11T21:28:01Z,17s,180.863306,6.053888
2022-09-11T21:28:17Z,16s,174.028034,5.926912
2022-09-11T21:28:35Z,18s,180.45432,6.066176
2022-09-11T21:28:50Z,15s,176.318929,5.9392
2022-09-11T21:29:02Z,12s,180.977467,6.193152
2022-09-11T21:29:18Z,16s,182.350122,6.197248
2022-09-11T21:29:34Z,16s,177.081241,6.078464
2022-09-11T21:29:54Z,20s,179.82965,5.9392
2022-09-11T21:30:12Z,18s,181.425066,6.197248
2022-09-11T21:30:30Z,18s,183.559467,5.943296
2022-09-11T21:30:44Z,14s,173.097775,5.951488
2022-09-11T21:30:59Z,15s,182.30861,5.951488
2022-09-11T21:31:12Z,13s,178.423509,6.078464
2022-09-11T21:31:30Z,18s,177.090554,5.926912
