timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T21:27:50Z,17s,124.946104,5.701632
2022-09-11T21:28:10Z,20s,180.127686,6.12352
2022-09-11T21:28:27Z,17s,176.990713,6.578176
2022-09-11T21:28:43Z,16s,177.54323,6.316032
2022-09-11T21:28:57Z,14s,182.78931,6.283264
2022-09-11T21:29:14Z,17s,176.190039,6.152192
2022-09-11T21:29:14Z,17s,176.190039,6.152192
2022-09-11T21:29:33Z,19s,186.562765,0.006144
2022-09-11T21:30:01Z,28s,175.751561,6.135808
2022-09-11T21:30:15Z,14s,181.410391,6.135808
2022-09-11T21:30:26Z,11s,176.179198,6.144
