timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T21:30:49Z,16s,198.904868,5.332992
2022-09-11T21:31:08Z,19s,369.521994,5.402624
2022-09-11T21:31:30Z,22s,433.759024,5.44768
2022-09-11T21:31:44Z,14s,592.237626,7.950336
2022-09-11T21:31:57Z,13s,617.936042,8.241152
2022-09-11T21:32:09Z,12s,621.640581,7.622656
2022-09-11T21:32:27Z,18s,648.377858,7.221248
2022-09-11T21:32:42Z,15s,641.308058,7.294976
2022-09-11T21:32:57Z,15s,637.710776,7.409664
2022-09-11T21:33:09Z,12s,648.69973,7.405568
2022-09-11T21:33:29Z,20s,635.564866,7.22944
2022-09-11T21:33:45Z,16s,632.423031,6.709248
2022-09-11T21:33:59Z,14s,635.884245,6.84032
2022-09-11T21:34:09Z,10s,666.52445,6.787072
2022-09-11T21:34:25Z,16s,618.228893,6.90176
2022-09-11T21:34:44Z,19s,647.782486,6.774784
2022-09-11T21:34:56Z,12s,626.234674,6.815744
2022-09-11T21:35:10Z,14s,652.644259,6.684672
2022-09-11T21:35:28Z,18s,638.31611,7.299072
2022-09-11T21:35:42Z,14s,626.44628,6.98368
2022-09-11T21:35:59Z,17s,653.82035,6.77888
2022-09-11T21:35:59Z,17s,653.82035,6.77888
2022-09-11T21:36:19Z,20s,624.342291,6.90176
2022-09-11T21:36:38Z,19s,640.979379,7.008256
2022-09-11T21:36:50Z,12s,639.466332,6.729728
2022-09-11T21:37:13Z,23s,621.312671,6.742016
2022-09-11T21:37:13Z,23s,621.312671,6.742016
2022-09-11T21:37:32Z,19s,658.929382,7.4752
2022-09-11T21:37:49Z,17s,618.246908,6.844416
2022-09-11T21:38:06Z,17s,665.103832,6.852608
