timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T21:31:45Z,13s,16.703499,5.148672
2022-09-11T21:32:00Z,15s,268.087876,5.799936
2022-09-11T21:32:12Z,12s,680.769678,6.238208
2022-09-11T21:32:25Z,13s,623.411808,6.5536
2022-09-11T21:32:36Z,11s,632.349682,6.590464
2022-09-11T21:32:56Z,20s,625.255509,6.643712
2022-09-11T21:33:14Z,18s,641.320192,6.537216
2022-09-11T21:33:14Z,18s,641.320192,6.537216
2022-09-11T21:33:44Z,30s,646.550247,6.660096
2022-09-11T21:33:55Z,11s,642.841258,6.5536
2022-09-11T21:34:09Z,14s,647.324401,6.631424
2022-09-11T21:34:29Z,20s,628.04398,6.623232
2022-09-11T21:34:39Z,10s,649.381349,6.643712
2022-09-11T21:34:54Z,15s,617.979056,6.88128
2022-09-11T21:35:13Z,19s,627.586287,6.81984
2022-09-11T21:35:26Z,13s,641.817261,6.606848
2022-09-11T21:35:39Z,13s,639.974857,7.00416
2022-09-11T21:35:57Z,18s,655.368232,6.672384
2022-09-11T21:36:08Z,11s,609.987323,6.811648
2022-09-11T21:36:21Z,13s,646.037932,6.639616
2022-09-11T21:36:39Z,18s,630.677679,6.754304
2022-09-11T21:36:52Z,13s,662.836628,6.967296
2022-09-11T21:37:10Z,18s,648.493657,6.991872
2022-09-11T21:37:25Z,15s,605.922854,6.856704
2022-09-11T21:37:38Z,13s,634.627244,6.852608
2022-09-11T21:37:57Z,19s,664.78064,7.04512
2022-09-11T21:37:57Z,19s,664.78064,7.04512
2022-09-11T21:38:30Z,33s,636.089711,6.946816
2022-09-11T21:38:41Z,11s,626.524365,6.889472
2022-09-11T21:38:53Z,12s,615.490158,6.680576
2022-09-11T21:39:11Z,18s,655.75779,6.647808
