timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T21:47:42Z,12s,94.017004,5.3248
2022-09-11T21:47:42Z,12s,94.017004,5.3248
2022-09-11T21:48:13Z,31s,476.112316,6.217728
2022-09-11T21:48:13Z,31s,476.112316,6.217728
2022-09-11T21:48:30Z,17s,619.960762,6.934528
2022-09-11T21:48:49Z,19s,656.540247,7.02464
2022-09-11T21:49:02Z,13s,615.732503,6.975488
2022-09-11T21:49:21Z,19s,644.175768,7.041024
2022-09-11T21:49:37Z,16s,621.793251,7.213056
2022-09-11T21:49:52Z,15s,633.672057,6.885376
2022-09-11T21:50:09Z,17s,649.315634,6.729728
2022-09-11T21:50:27Z,18s,653.343727,6.7584
2022-09-11T21:50:27Z,18s,653.343727,6.7584
2022-09-11T21:50:58Z,31s,629.499751,6.889472
2022-09-11T21:50:58Z,31s,629.499751,6.889472
2022-09-11T21:51:15Z,17s,616.876715,6.84032
2022-09-11T21:51:41Z,26s,648.412892,7.0656
2022-09-11T21:51:53Z,12s,625.317714,6.889472
2022-09-11T21:52:05Z,12s,656.662151,7.102464
2022-09-11T21:52:24Z,19s,626.25224,6.782976
2022-09-11T21:52:34Z,10s,641.698132,7.196672
2022-09-11T21:52:50Z,16s,632.274945,6.995968
2022-09-11T21:53:08Z,18s,628.48473,6.926336
2022-09-11T21:53:25Z,17s,650.739309,6.971392
2022-09-11T21:53:37Z,12s,607.284855,7.016448
2022-09-11T21:53:50Z,13s,642.900027,7.069696
2022-09-11T21:54:07Z,17s,652.21654,7.032832
2022-09-11T21:54:21Z,14s,641.951086,7.02464
2022-09-11T21:54:33Z,12s,621.331574,7.172096
2022-09-11T21:54:58Z,25s,630.498195,7.118848
2022-09-11T21:54:58Z,25s,630.498195,7.118848
