timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T21:46:49Z,18s,605.423105,6.488064
2022-09-11T21:47:03Z,14s,601.843071,6.320128
2022-09-11T21:47:17Z,14s,441.007977,6.320128
2022-09-11T21:47:35Z,18s,451.968535,7.12704
2022-09-11T21:47:58Z,23s,639.638185,7.68
2022-09-11T21:48:12Z,14s,638.385569,7.143424
2022-09-11T21:48:22Z,10s,654.166615,7.479296
2022-09-11T21:48:40Z,18s,604.333882,7.33184
2022-09-11T21:48:54Z,14s,633.853553,7.430144
2022-09-11T21:49:05Z,11s,685.504889,7.303168
2022-09-11T21:49:20Z,15s,618.801332,7.512064
2022-09-11T21:49:37Z,17s,628.537091,7.33184
2022-09-11T21:49:51Z,14s,627.002116,7.356416
2022-09-11T21:50:08Z,17s,662.211015,7.245824
2022-09-11T21:50:24Z,16s,637.541724,7.409664
2022-09-11T21:50:40Z,16s,609.979905,7.266304
2022-09-11T21:50:52Z,12s,645.983452,7.163904
2022-09-11T21:51:10Z,18s,656.770194,7.254016
2022-09-11T21:51:22Z,12s,606.510376,7.364608
2022-09-11T21:51:36Z,14s,661.489082,7.22944
2022-09-11T21:51:47Z,11s,589.021221,7.2704
2022-09-11T21:52:13Z,26s,635.952981,7.135232
2022-09-11T21:52:27Z,14s,634.610447,7.245824
2022-09-11T21:52:40Z,13s,671.347091,7.114752
2022-09-11T21:52:58Z,18s,636.01405,7.122944
2022-09-11T21:53:12Z,14s,631.059928,7.135232
2022-09-11T21:53:12Z,14s,631.059928,7.135232
2022-09-11T21:53:32Z,20s,632.588862,7.196672
2022-09-11T21:53:50Z,18s,612.387122,7.18848
2022-09-11T21:54:07Z,17s,639.684971,7.303168
