timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T22:00:56Z,14s,116.389381,5.541888
2022-09-11T22:01:10Z,14s,180.785201,5.783552
2022-09-11T22:01:21Z,11s,169.494355,5.890048
2022-09-11T22:01:36Z,15s,189.092539,6.029312
2022-09-11T22:01:47Z,11s,164.41504,6.0416
2022-09-11T22:02:02Z,15s,182.467095,5.91872
2022-09-11T22:02:16Z,14s,177.716711,5.91872
2022-09-11T22:02:31Z,15s,172.007308,5.91872
2022-09-11T22:02:50Z,19s,180.0285,5.91872
2022-09-11T22:03:09Z,19s,181.546018,5.91872
2022-09-11T22:03:09Z,19s,181.546018,5.91872
2022-09-11T22:03:29Z,20s,175.878034,6.180864
2022-09-11T22:03:48Z,19s,181.530571,6.012928
2022-09-11T22:04:02Z,14s,171.768527,5.894144
2022-09-11T22:04:18Z,16s,177.765528,5.89824
