timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T22:18:57Z,12s,120.074571,5.259264
2022-09-11T22:18:57Z,12s,120.074571,5.259264
2022-09-11T22:19:16Z,19s,364.176465,5.36576
2022-09-11T22:19:42Z,26s,443.024291,5.459968
2022-09-11T22:19:58Z,16s,519.997951,7.31136
2022-09-11T22:19:58Z,16s,519.997951,7.31136
2022-09-11T22:20:16Z,18s,573.856093,7.33184
2022-09-11T22:20:42Z,26s,560.535451,7.053312
2022-09-11T22:20:54Z,12s,551.470926,6.946816
2022-09-11T22:21:05Z,11s,530.353833,7.18848
2022-09-11T22:21:18Z,13s,567.650462,7.098368
2022-09-11T22:21:32Z,14s,545.16701,7.069696
2022-09-11T22:21:44Z,12s,572.698394,6.782976
2022-09-11T22:22:12Z,28s,563.500569,6.63552
2022-09-11T22:22:12Z,28s,563.500569,6.63552
2022-09-11T22:22:30Z,18s,538.875834,6.660096
2022-09-11T22:22:49Z,19s,558.403164,6.639616
2022-09-11T22:23:11Z,22s,557.141957,6.918144
2022-09-11T22:23:22Z,11s,567.827965,6.651904
2022-09-11T22:23:36Z,14s,574.497731,6.7584
2022-09-11T22:23:46Z,10s,562.928176,6.610944
2022-09-11T22:24:01Z,15s,554.607964,6.750208
2022-09-11T22:24:21Z,20s,557.24101,6.868992
2022-09-11T22:24:39Z,18s,557.699417,6.868992
2022-09-11T22:24:55Z,16s,558.914021,6.61504
2022-09-11T22:24:55Z,16s,558.914021,6.61504
2022-09-11T22:25:15Z,20s,540.901771,6.754304
2022-09-11T22:25:31Z,16s,561.612989,6.729728
2022-09-11T22:25:56Z,25s,567.949282,6.754304
2022-09-11T22:26:08Z,12s,540.849571,6.692864
2022-09-11T22:26:21Z,13s,548.696361,6.57408
