timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T22:31:03Z,18s,35.821736,5.095424
2022-09-11T22:31:19Z,16s,131.045722,5.660672
2022-09-11T22:31:31Z,12s,165.006641,5.881856
2022-09-11T22:31:46Z,15s,168.592651,6.086656
2022-09-11T22:32:01Z,15s,177.633477,6.340608
2022-09-11T22:32:17Z,16s,170.767274,6.242304
2022-09-11T22:32:33Z,16s,167.046714,6.119424
2022-09-11T22:32:48Z,15s,171.088392,6.2464
2022-09-11T22:33:07Z,19s,174.344016,6.127616
2022-09-11T22:33:18Z,11s,180.049591,6.254592
2022-09-11T22:33:38Z,20s,169.570312,6.258688
2022-09-11T22:33:57Z,19s,173.609213,6.139904
2022-09-11T22:34:08Z,11s,167.305424,6.26688
2022-09-11T22:34:20Z,12s,174.788439,6.139904
