timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T22:52:05Z,19s,109.452897,5.394432
2022-09-11T22:52:23Z,18s,551.485545,6.656
2022-09-11T22:52:35Z,12s,621.693708,6.582272
2022-09-11T22:52:49Z,14s,603.62518,7.008256
2022-09-11T22:53:00Z,11s,609.62581,6.81984
2022-09-11T22:53:19Z,19s,609.985709,6.705152
2022-09-11T22:53:29Z,10s,655.565783,6.873088
2022-09-11T22:53:58Z,29s,603.850512,6.733824
2022-09-11T22:54:12Z,14s,640.20504,6.868992
2022-09-11T22:54:23Z,11s,608.728525,6.762496
2022-09-11T22:54:42Z,19s,620.103726,6.893568
2022-09-11T22:54:53Z,11s,580.064779,6.750208
2022-09-11T22:55:12Z,19s,607.707999,6.79936
2022-09-11T22:55:22Z,10s,656.513921,6.836224
2022-09-11T22:55:35Z,13s,594.171764,7.090176
2022-09-11T22:55:55Z,20s,612.106569,6.967296
2022-09-11T22:56:09Z,14s,628.767873,6.959104
2022-09-11T22:56:23Z,14s,619.958421,6.832128
2022-09-11T22:56:23Z,14s,619.958421,6.832128
2022-09-11T22:56:56Z,33s,600.652519,6.971392
2022-09-11T22:57:11Z,15s,642.607402,7.049216
2022-09-11T22:57:25Z,14s,617.827073,6.938624
2022-09-11T22:57:36Z,11s,601.737199,7.18848
2022-09-11T22:57:58Z,22s,600.574859,7.036928
2022-09-11T22:58:09Z,11s,612.449441,6.889472
2022-09-11T22:58:25Z,16s,637.471718,6.90176
2022-09-11T22:58:25Z,16s,637.471718,6.90176
2022-09-11T22:58:45Z,20s,589.504172,7.0656
2022-09-11T22:59:01Z,16s,621.13677,6.90176
2022-09-11T22:59:15Z,14s,609.429985,6.770688
