timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T23:05:03Z,19s,113.182372,5.627904
2022-09-11T23:05:22Z,19s,172.118219,5.894144
2022-09-11T23:05:38Z,16s,174.281225,6.217728
2022-09-11T23:05:50Z,12s,176.14748,6.127616
2022-09-11T23:06:07Z,17s,163.772962,6.004736
2022-09-11T23:06:21Z,14s,174.691643,5.996544
2022-09-11T23:06:33Z,12s,170.632542,6.148096
2022-09-11T23:06:43Z,10s,180.473938,6.025216
2022-09-11T23:07:02Z,19s,167.611442,6.156288
2022-09-11T23:07:17Z,15s,171.544953,6.029312
2022-09-11T23:07:31Z,14s,175.174345,6.16448
2022-09-11T23:07:49Z,18s,172.306491,6.295552
2022-09-11T23:08:05Z,16s,176.105276,6.045696
2022-09-11T23:08:20Z,15s,172.00535,6.299648
