timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T23:23:56Z,13s,64.750098,5.255168
2022-09-11T23:24:15Z,19s,485.601671,5.881856
2022-09-11T23:24:31Z,16s,576.280284,5.779456
2022-09-11T23:24:49Z,18s,592.801352,6.873088
2022-09-11T23:25:05Z,16s,614.383088,6.803456
2022-09-11T23:25:23Z,18s,593.460467,6.803456
2022-09-11T23:25:41Z,18s,603.783434,6.602752
2022-09-11T23:25:41Z,18s,603.783434,6.602752
2022-09-11T23:25:58Z,17s,602.333035,6.606848
2022-09-11T23:26:13Z,15s,621.96293,6.606848
2022-09-11T23:26:30Z,17s,601.834256,6.463488
2022-09-11T23:26:41Z,11s,622.162561,6.565888
2022-09-11T23:27:01Z,20s,596.421654,6.77888
2022-09-11T23:27:11Z,10s,631.085281,6.84032
2022-09-11T23:27:29Z,18s,609.116403,6.774784
2022-09-11T23:27:41Z,12s,608.68911,6.705152
2022-09-11T23:27:58Z,17s,588.709368,6.688768
2022-09-11T23:28:16Z,18s,620.119164,6.631424
2022-09-11T23:28:40Z,24s,585.653397,6.791168
2022-09-11T23:28:51Z,11s,604.641464,6.73792
2022-09-11T23:29:10Z,19s,624.632302,6.664192
2022-09-11T23:29:10Z,19s,624.632302,6.664192
2022-09-11T23:29:29Z,19s,604.010165,6.864896
2022-09-11T23:29:48Z,19s,608.341778,6.733824
2022-09-11T23:30:03Z,15s,593.744634,6.73792
2022-09-11T23:30:16Z,13s,596.165419,6.729728
2022-09-11T23:30:32Z,16s,620.631044,6.750208
2022-09-11T23:30:52Z,20s,600.280301,6.787072
2022-09-11T23:31:08Z,16s,607.796602,6.586368
2022-09-11T23:31:24Z,16s,622.419164,6.623232
