timestamp,window,cpu (millicores),memory (megabytes)
2022-09-11T23:34:59Z,14s,74.161805,5.259264
2022-09-11T23:35:14Z,15s,136.116285,5.947392
2022-09-11T23:35:28Z,14s,134.929213,5.914624
2022-09-11T23:35:42Z,14s,125.853561,5.955584
2022-09-11T23:36:07Z,25s,134.767994,6.025216
2022-09-11T23:36:20Z,13s,126.152961,6.033408
2022-09-11T23:36:39Z,19s,133.277939,6.037504
2022-09-11T23:36:54Z,15s,136.676593,6.16448
2022-09-11T23:37:09Z,15s,127.278482,6.037504
2022-09-11T23:37:09Z,15s,127.278482,6.037504
2022-09-11T23:37:38Z,29s,133.715324,6.045696
2022-09-11T23:37:38Z,29s,133.715324,6.045696
2022-09-11T23:37:56Z,18s,130.534784,6.172672
2022-09-11T23:38:16Z,20s,130.576114,6.066176
