timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T00:05:27Z,17s,47.127035,5.632
2022-09-12T00:05:53Z,26s,49.811351,5.89824
2022-09-12T00:06:06Z,13s,48.835151,5.906432
2022-09-12T00:06:21Z,15s,50.12623,5.98016
2022-09-12T00:06:36Z,15s,52.510739,5.988352
2022-09-12T00:06:50Z,14s,48.868033,5.988352
2022-09-12T00:07:06Z,16s,50.117745,5.996544
2022-09-12T00:07:23Z,17s,50.904885,6.152192
2022-09-12T00:07:23Z,17s,50.904885,6.152192
2022-09-12T00:07:42Z,19s,48.832263,6.029312
2022-09-12T00:08:02Z,20s,49.856869,6.06208
2022-09-12T00:08:20Z,18s,50.456545,6.086656
2022-09-12T00:08:36Z,16s,50.769966,6.086656
