timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T00:11:52Z,14s,89.345556,5.320704
2022-09-12T00:12:06Z,14s,357.569722,5.398528
2022-09-12T00:12:22Z,16s,431.42586,5.464064
2022-09-12T00:12:35Z,13s,388.156297,5.50912
2022-09-12T00:12:50Z,15s,478.230137,7.2704
2022-09-12T00:13:02Z,12s,564.424787,7.380992
2022-09-12T00:13:13Z,11s,503.893765,7.168
2022-09-12T00:13:31Z,18s,547.746579,7.168
2022-09-12T00:13:44Z,13s,533.756179,6.971392
2022-09-12T00:14:07Z,23s,531.743456,6.836224
2022-09-12T00:14:21Z,14s,509.698547,6.92224
2022-09-12T00:14:36Z,15s,544.372516,6.803456
2022-09-12T00:14:47Z,11s,523.205853,6.787072
2022-09-12T00:14:58Z,11s,555.120998,6.959104
2022-09-12T00:15:13Z,15s,536.434987,6.815744
2022-09-12T00:15:33Z,20s,525.414323,6.92224
2022-09-12T00:15:50Z,17s,530.812647,6.770688
2022-09-12T00:16:02Z,12s,528.798348,7.069696
2022-09-12T00:16:18Z,16s,539.363436,6.889472
2022-09-12T00:16:29Z,11s,527.964044,6.811648
2022-09-12T00:16:41Z,12s,556.572612,6.918144
2022-09-12T00:16:56Z,15s,527.070639,6.7584
2022-09-12T00:17:16Z,20s,517.567987,6.864896
2022-09-12T00:17:35Z,19s,553.281657,6.930432
2022-09-12T00:17:53Z,18s,522.098821,6.852608
2022-09-12T00:18:08Z,15s,526.676893,6.701056
2022-09-12T00:18:18Z,10s,571.094829,6.832128
2022-09-12T00:18:30Z,12s,515.702639,6.828032
2022-09-12T00:18:42Z,12s,524.871175,6.721536
2022-09-12T00:19:00Z,18s,536.457993,6.848512
2022-09-12T00:19:16Z,16s,523.174071,6.598656
2022-09-12T00:19:31Z,15s,563.449034,6.844416
2022-09-12T00:19:42Z,11s,499.187594,6.81984
