timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T00:23:02Z,24s,115.028771,6.0416
2022-09-12T00:23:19Z,17s,170.947172,5.873664
2022-09-12T00:23:19Z,17s,170.947172,5.873664
2022-09-12T00:23:38Z,19s,165.199904,6.045696
2022-09-12T00:23:55Z,17s,162.008043,6.070272
2022-09-12T00:24:11Z,16s,163.782564,6.139904
2022-09-12T00:24:28Z,17s,172.854652,6.201344
2022-09-12T00:24:46Z,18s,163.987802,6.254592
2022-09-12T00:24:57Z,11s,167.60197,6.127616
2022-09-12T00:25:12Z,15s,158.211757,6.254592
2022-09-12T00:25:30Z,18s,164.790112,6.254592
2022-09-12T00:25:45Z,15s,176.451857,6.2464
2022-09-12T00:26:04Z,19s,159.839408,6.250496
2022-09-12T00:26:17Z,13s,168.490895,6.254592
2022-09-12T00:26:28Z,11s,161.355022,6.254592
2022-09-12T00:26:43Z,15s,172.465289,6.254592
2022-09-12T00:27:03Z,20s,160.058172,6.258688
2022-09-12T00:27:03Z,20s,160.058172,6.258688
