timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T00:42:57Z,17s,504.965405,5.71392
2022-09-12T00:43:12Z,15s,478.293541,5.730304
2022-09-12T00:43:32Z,20s,385.241708,5.7344
2022-09-12T00:43:32Z,20s,385.241708,5.7344
2022-09-12T00:43:51Z,19s,497.006106,7.68
2022-09-12T00:44:08Z,17s,546.034227,7.892992
2022-09-12T00:44:27Z,19s,538.307437,8.044544
2022-09-12T00:44:39Z,12s,515.710207,7.725056
2022-09-12T00:45:05Z,26s,540.317304,7.569408
2022-09-12T00:45:16Z,11s,509.750725,7.43424
2022-09-12T00:45:36Z,20s,530.984955,7.401472
2022-09-12T00:45:46Z,10s,547.527502,6.967296
2022-09-12T00:45:58Z,12s,521.949808,7.081984
2022-09-12T00:46:18Z,20s,530.966896,7.110656
2022-09-12T00:46:35Z,17s,537.291071,7.090176
2022-09-12T00:46:35Z,17s,537.291071,7.090176
2022-09-12T00:46:54Z,19s,536.724975,7.094272
2022-09-12T00:47:08Z,14s,524.024036,7.237632
2022-09-12T00:47:27Z,19s,530.698558,6.459392
2022-09-12T00:47:42Z,15s,553.761366,6.541312
2022-09-12T00:47:58Z,16s,546.765446,6.3488
2022-09-12T00:48:16Z,18s,527.809103,6.619136
2022-09-12T00:48:28Z,12s,528.684402,6.352896
2022-09-12T00:48:40Z,12s,524.218734,6.631424
2022-09-12T00:49:00Z,20s,530.415062,6.746112
2022-09-12T00:49:19Z,19s,528.738043,6.336512
2022-09-12T00:49:34Z,15s,558.360934,6.610944
2022-09-12T00:49:34Z,15s,558.360934,6.610944
2022-09-12T00:49:53Z,19s,525.518562,6.344704
2022-09-12T00:50:17Z,24s,529.203019,6.3488
