timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T01:27:52Z,18s,113.312744,5.545984
2022-09-12T01:28:07Z,15s,165.193158,5.922816
2022-09-12T01:28:31Z,24s,158.436583,6.336512
2022-09-12T01:28:31Z,24s,158.436583,6.336512
2022-09-12T01:29:01Z,30s,158.320189,6.213632
2022-09-12T01:29:01Z,30s,158.320189,6.213632
2022-09-12T01:29:18Z,17s,166.724523,6.078464
2022-09-12T01:29:36Z,18s,161.772859,6.08256
2022-09-12T01:29:50Z,14s,160.111904,6.107136
2022-09-12T01:30:07Z,17s,158.890711,6.234112
2022-09-12T01:30:20Z,13s,151.057781,6.107136
2022-09-12T01:30:34Z,14s,167.788954,6.107136
2022-09-12T01:31:00Z,26s,157.599001,6.209536
2022-09-12T01:31:14Z,14s,158.649297,6.115328
2022-09-12T01:31:31Z,17s,160.970159,6.107136
