timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T01:26:46Z,13s,125.563464,5.562368
2022-09-12T01:26:46Z,13s,125.563464,5.562368
2022-09-12T01:27:02Z,16s,156.323397,5.763072
2022-09-12T01:27:19Z,17s,156.806319,5.996544
2022-09-12T01:27:43Z,24s,165.194327,6.30784
2022-09-12T01:28:00Z,17s,160.840002,6.242304
2022-09-12T01:28:00Z,17s,160.840002,6.242304
2022-09-12T01:28:20Z,20s,153.559637,6.365184
2022-09-12T01:28:39Z,19s,163.281116,6.377472
2022-09-12T01:28:50Z,11s,162.485034,6.258688
2022-09-12T01:29:05Z,15s,161.133786,6.258688
2022-09-12T01:29:23Z,18s,160.676405,6.258688
2022-09-12T01:29:40Z,17s,159.884333,6.258688
2022-09-12T01:29:57Z,17s,151.257552,6.258688
2022-09-12T01:30:09Z,12s,161.567412,6.258688
2022-09-12T01:30:27Z,18s,160.483764,6.53312
