timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T01:31:59Z,25s,517.85273,6.631424
2022-09-12T01:32:13Z,14s,497.707254,6.545408
2022-09-12T01:32:25Z,12s,510.483668,6.92224
2022-09-12T01:32:43Z,18s,510.875908,6.782976
2022-09-12T01:33:00Z,17s,517.573108,6.787072
2022-09-12T01:33:16Z,16s,510.918949,6.782976
2022-09-12T01:33:31Z,15s,542.569207,6.742016
2022-09-12T01:33:46Z,15s,510.294901,6.92224
2022-09-12T01:33:46Z,15s,510.294901,6.92224
2022-09-12T01:34:06Z,20s,516.238468,7.163904
2022-09-12T01:34:23Z,17s,501.034473,6.660096
2022-09-12T01:34:37Z,14s,522.515448,6.733824
2022-09-12T01:34:49Z,12s,528.199719,6.77888
2022-09-12T01:35:08Z,19s,507.658124,6.791168
2022-09-12T01:35:22Z,14s,507.929197,6.660096
2022-09-12T01:35:36Z,14s,530.720257,6.742016
2022-09-12T01:35:51Z,15s,509.203195,6.660096
2022-09-12T01:36:07Z,16s,530.777972,6.656
2022-09-12T01:36:21Z,14s,519.047498,6.787072
2022-09-12T01:36:36Z,15s,506.134419,6.63552
2022-09-12T01:36:53Z,17s,524.700615,6.770688
2022-09-12T01:37:12Z,19s,512.859017,6.823936
2022-09-12T01:37:26Z,14s,501.240329,6.807552
2022-09-12T01:37:39Z,13s,510.741823,6.885376
2022-09-12T01:37:52Z,13s,520.086537,6.643712
2022-09-12T01:38:04Z,12s,502.707792,6.656
2022-09-12T01:38:18Z,14s,519.686224,6.742016
2022-09-12T01:38:36Z,18s,529.662622,6.7584
2022-09-12T01:38:51Z,15s,521.862238,6.639616
2022-09-12T01:39:05Z,14s,490.099535,6.762496
