timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T01:47:50Z,16s,137.869107,5.30432
2022-09-12T01:48:16Z,26s,154.845739,5.316608
2022-09-12T01:48:16Z,26s,154.845739,5.316608
2022-09-12T01:48:46Z,30s,347.675158,7.008256
2022-09-12T01:48:46Z,30s,347.675158,7.008256
2022-09-12T01:49:05Z,19s,517.521013,6.688768
2022-09-12T01:49:24Z,19s,513.679055,6.950912
2022-09-12T01:49:43Z,19s,493.366339,6.897664
2022-09-12T01:50:01Z,18s,532.123875,6.938624
2022-09-12T01:50:15Z,14s,512.197908,6.692864
2022-09-12T01:50:28Z,13s,507.494443,6.832128
2022-09-12T01:50:44Z,16s,525.442708,6.823936
2022-09-12T01:50:55Z,11s,524.276595,6.803456
2022-09-12T01:51:14Z,19s,504.718993,6.680576
2022-09-12T01:51:24Z,10s,535.510507,6.938624
2022-09-12T01:51:35Z,11s,511.32064,6.803456
2022-09-12T01:51:51Z,16s,490.31945,6.938624
2022-09-12T01:52:10Z,19s,520.671953,6.69696
2022-09-12T01:52:28Z,18s,535.510926,6.660096
2022-09-12T01:52:46Z,18s,498.161274,6.795264
2022-09-12T01:53:01Z,15s,523.049718,6.692864
2022-09-12T01:53:16Z,15s,515.189959,6.787072
2022-09-12T01:53:16Z,15s,515.189959,6.787072
2022-09-12T01:53:34Z,18s,504.51965,6.67648
2022-09-12T01:53:48Z,14s,531.579377,6.905856
2022-09-12T01:54:03Z,15s,524.455164,6.59456
2022-09-12T01:54:19Z,16s,519.098968,6.57408
2022-09-12T01:54:35Z,16s,489.409408,6.59456
2022-09-12T01:55:01Z,26s,521.840271,6.742016
2022-09-12T01:55:11Z,10s,526.24749,6.705152
2022-09-12T01:55:23Z,12s,532.886526,6.598656
2022-09-12T01:55:40Z,17s,515.63165,6.701056
