timestamp,window,cpu (millicores),memory (megabytes)
2022-09-12T01:48:45Z,12s,448.975922,6.418432
2022-09-12T01:48:56Z,11s,509.782845,6.57408
2022-09-12T01:49:09Z,13s,511.114918,7.04512
2022-09-12T01:49:21Z,12s,527.881061,6.873088
2022-09-12T01:49:46Z,25s,521.445997,6.729728
2022-09-12T01:49:46Z,25s,521.445997,6.729728
2022-09-12T01:50:04Z,18s,515.533374,6.803456
2022-09-12T01:50:18Z,14s,516.086597,6.77888
2022-09-12T01:50:36Z,18s,498.442746,6.791168
2022-09-12T01:50:54Z,18s,518.556905,6.807552
2022-09-12T01:51:13Z,19s,524.796855,6.955008
2022-09-12T01:51:28Z,15s,497.970323,6.680576
2022-09-12T01:51:43Z,15s,521.515044,6.90176
2022-09-12T01:51:53Z,10s,525.636325,6.69696
2022-09-12T01:52:13Z,20s,513.834681,6.930432
2022-09-12T01:52:31Z,18s,527.753788,6.955008
2022-09-12T01:52:31Z,18s,527.753788,6.955008
2022-09-12T01:52:59Z,28s,512.52799,6.81984
2022-09-12T01:52:59Z,28s,512.52799,6.81984
2022-09-12T01:53:19Z,20s,513.252047,6.660096
2022-09-12T01:53:39Z,20s,513.851854,6.81984
2022-09-12T01:53:53Z,14s,515.079396,6.656
2022-09-12T01:54:04Z,11s,506.589598,6.926336
2022-09-12T01:54:24Z,20s,515.093646,6.823936
2022-09-12T01:54:37Z,13s,532.063872,6.791168
2022-09-12T01:54:50Z,13s,495.778821,6.934528
2022-09-12T01:55:02Z,12s,537.525144,6.680576
2022-09-12T01:55:18Z,16s,514.981546,7.081984
2022-09-12T01:55:35Z,17s,507.29827,6.79936
