timestamp,window,cpu (millicores),memory (megabytes)
2022-09-10T12:24:20Z,20s,1209.556021,3089.96096
2022-09-10T12:24:30Z,10s,1264.972804,3111.309312
2022-09-10T12:24:51Z,21s,1197.310806,3122.515968
2022-09-10T12:25:01Z,10s,1283.80557,3114.33216
2022-09-10T12:25:21Z,20s,1259.51434,3125.624832
2022-09-10T12:25:31Z,10s,1276.241046,3132.39552
2022-09-10T12:25:41Z,10s,1255.470938,3129.991168
2022-09-10T12:26:01Z,20s,1327.537587,3060.506624
2022-09-10T12:26:11Z,10s,1302.61323,3046.424576
2022-09-10T12:26:31Z,20s,1256.351506,3052.208128
2022-09-10T12:26:41Z,10s,1257.531749,3049.029632
2022-09-10T12:27:02Z,21s,1239.493853,3052.486656
2022-09-10T12:27:12Z,10s,1297.219095,3051.364352
2022-09-10T12:27:32Z,20s,1360.101135,3051.003904
2022-09-10T12:27:42Z,10s,1319.7746,3052.367872
2022-09-10T12:28:02Z,20s,1300.852825,3053.60896
2022-09-10T12:28:12Z,10s,1424.486672,3050.954752
2022-09-10T12:28:32Z,20s,1677.569535,3050.55744
2022-09-10T12:28:42Z,10s,1630.900087,3055.661056
2022-09-10T12:29:02Z,20s,1618.007684,3050.55744
2022-09-10T12:29:13Z,11s,1465.325224,3050.983424
2022-09-10T12:29:33Z,20s,1649.594536,3049.848832
2022-09-10T12:29:43Z,10s,1639.15933,3040.702464
2022-09-10T12:30:03Z,20s,1610.43855,3036.110848
2022-09-10T12:30:13Z,10s,1651.146171,3034.836992
2022-09-10T12:30:33Z,20s,1622.370155,3044.839424
2022-09-10T12:30:43Z,10s,1595.152034,3035.246592
2022-09-10T12:31:03Z,20s,1652.060125,3035.172864
2022-09-10T12:31:14Z,11s,1459.558069,3035.308032
2022-09-10T12:31:34Z,20s,1645.047538,3042.97984
2022-09-10T12:31:44Z,10s,1595.287216,3039.019008
2022-09-10T12:32:04Z,20s,1559.404812,3035.533312
2022-09-10T12:32:14Z,10s,1512.336122,3035.631616
2022-09-10T12:32:34Z,20s,1628.509154,3042.025472
2022-09-10T12:32:44Z,10s,1595.609952,3035.201536
2022-09-10T12:33:04Z,20s,1708.338979,3040.41984
2022-09-10T12:33:15Z,11s,1553.805106,3046.68672
2022-09-10T12:33:35Z,20s,1682.278975,3039.059968
2022-09-10T12:33:45Z,10s,1557.345986,3056.164864
2022-09-10T12:34:05Z,20s,1669.269688,3050.942464
2022-09-10T12:34:15Z,10s,1673.184538,3047.501824
2022-09-10T12:34:35Z,20s,1705.296866,3036.83584
2022-09-10T12:34:45Z,10s,1682.09175,3045.597184
2022-09-10T12:35:05Z,20s,1708.331526,3049.336832
2022-09-10T12:35:16Z,11s,1565.152951,3048.525824
2022-09-10T12:35:36Z,20s,1689.119047,3053.572096
2022-09-10T12:35:46Z,10s,1721.578085,3049.61536
2022-09-10T12:35:56Z,10s,1701.11615,3047.018496
2022-09-10T12:36:16Z,20s,1717.694042,3035.693056
2022-09-10T12:36:26Z,10s,1716.403984,3045.036032
2022-09-10T12:36:46Z,20s,1702.36017,3045.101568
2022-09-10T12:36:57Z,11s,1545.299448,3039.469568
2022-09-10T12:37:17Z,20s,1753.427873,3040.927744
2022-09-10T12:37:27Z,10s,1765.246197,3039.25248
2022-09-10T12:37:47Z,20s,1695.538914,3037.024256
2022-09-10T12:37:57Z,10s,1694.0671,3040.493568
2022-09-10T12:38:17Z,20s,1701.140829,3047.849984
2022-09-10T12:38:27Z,10s,1701.117298,3037.47072
2022-09-10T12:38:48Z,21s,1631.868479,3048.710144
2022-09-10T12:38:58Z,10s,1673.688932,3043.012608
