timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T14:16:35Z,14s,151.200336,5.431296
2022-09-08T14:16:46Z,11s,171.414428,5.656576
2022-09-08T14:17:01Z,15s,179.856227,5.881856
2022-09-08T14:17:12Z,11s,184.428111,5.9392
2022-09-08T14:17:34Z,22s,178.586564,5.98016
2022-09-08T14:17:50Z,16s,178.31857,6.107136
2022-09-08T14:17:50Z,16s,178.31857,6.107136
2022-09-08T14:18:21Z,31s,177.358416,6.115328
2022-09-08T14:18:34Z,13s,183.702798,5.988352
2022-09-08T14:18:44Z,10s,180.93488,6.115328
2022-09-08T14:18:55Z,11s,177.247201,6.107136
2022-09-08T14:19:10Z,15s,175.947772,6.115328
2022-09-08T14:19:29Z,19s,182.626124,6.10304
2022-09-08T14:19:47Z,18s,177.502576,6.10304
2022-09-08T14:20:02Z,15s,181.864591,5.976064
