timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T14:20:33Z,13s,28.306908,5.206016
2022-09-08T14:20:45Z,12s,341.319705,5.558272
2022-09-08T14:21:02Z,17s,653.181416,6.53312
2022-09-08T14:21:18Z,16s,646.616134,6.59456
2022-09-08T14:21:31Z,13s,623.857973,6.647808
2022-09-08T14:21:50Z,19s,623.540734,6.742016
2022-09-08T14:22:02Z,12s,679.313242,6.762496
2022-09-08T14:22:16Z,14s,632.655109,6.844416
2022-09-08T14:22:36Z,20s,638.191274,6.807552
2022-09-08T14:22:36Z,20s,638.191274,6.807552
2022-09-08T14:22:54Z,18s,630.277591,6.647808
2022-09-08T14:23:20Z,26s,642.897864,6.905856
2022-09-08T14:23:31Z,11s,659.584725,6.995968
2022-09-08T14:23:43Z,12s,654.787778,6.967296
2022-09-08T14:23:55Z,12s,650.343279,7.020544
2022-09-08T14:24:10Z,15s,629.309646,6.754304
2022-09-08T14:24:28Z,18s,627.090263,6.684672
2022-09-08T14:24:46Z,18s,652.786984,6.852608
2022-09-08T14:25:03Z,17s,627.161779,6.803456
2022-09-08T14:25:17Z,14s,659.754154,6.930432
2022-09-08T14:25:33Z,16s,641.853473,7.180288
2022-09-08T14:25:51Z,18s,645.392179,6.946816
2022-09-08T14:26:07Z,16s,621.629312,7.192576
2022-09-08T14:26:19Z,12s,679.3332,7.266304
2022-09-08T14:26:34Z,15s,636.476232,7.397376
2022-09-08T14:26:48Z,14s,653.271765,7.241728
2022-09-08T14:26:48Z,14s,653.271765,7.241728
2022-09-08T14:27:21Z,33s,626.075327,7.028736
2022-09-08T14:27:37Z,16s,654.620302,7.172096
2022-09-08T14:27:37Z,16s,654.620302,7.172096
2022-09-08T14:28:06Z,29s,649.844957,6.946816
