timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T14:32:01Z,14s,44.754834,5.443584
2022-09-08T14:32:16Z,15s,50.83709,5.562368
2022-09-08T14:32:28Z,12s,48.785266,5.722112
2022-09-08T14:32:42Z,14s,52.08517,5.730304
2022-09-08T14:32:55Z,13s,48.139108,5.738496
2022-09-08T14:33:10Z,15s,51.02612,5.763072
2022-09-08T14:33:30Z,20s,49.163934,5.79584
2022-09-08T14:33:47Z,17s,49.911078,5.935104
2022-09-08T14:33:58Z,11s,49.337814,5.808128
2022-09-08T14:34:09Z,11s,50.458575,5.808128
2022-09-08T14:34:25Z,16s,51.495768,5.808128
