timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T17:32:05Z,16s,48.096839,5.603328
2022-09-08T17:32:20Z,15s,48.25845,5.681152
2022-09-08T17:32:33Z,13s,49.722077,5.890048
2022-09-08T17:33:00Z,27s,51.006141,6.045696
2022-09-08T17:33:10Z,10s,51.739796,6.045696
2022-09-08T17:33:30Z,20s,49.582293,6.078464
2022-09-08T17:33:44Z,14s,48.131639,6.08256
2022-09-08T17:34:00Z,16s,52.054375,6.086656
2022-09-08T17:34:13Z,13s,48.250486,6.090752
2022-09-08T17:34:13Z,13s,48.250486,6.090752
2022-09-08T17:34:46Z,33s,49.633199,6.10304
2022-09-08T17:34:56Z,10s,52.759016,6.10304
2022-09-08T17:35:10Z,14s,48.902807,6.10304
2022-09-08T17:35:26Z,16s,50.762354,6.107136
