timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T17:52:34Z,17s,162.158106,5.279744
2022-09-08T17:52:51Z,17s,503.159281,5.787648
2022-09-08T17:53:08Z,17s,572.03918,5.677056
2022-09-08T17:53:25Z,17s,487.661944,5.677056
2022-09-08T17:53:35Z,10s,393.282111,5.677056
2022-09-08T17:53:51Z,16s,712.607062,5.840896
2022-09-08T17:54:02Z,11s,902.885637,5.922816
2022-09-08T17:54:21Z,19s,936.098128,6.51264
2022-09-08T17:54:33Z,12s,956.343227,6.172672
2022-09-08T17:54:47Z,14s,900.629739,6.73792
2022-09-08T17:55:02Z,15s,956.984296,6.418432
2022-09-08T17:55:39Z,19s,970.013752,6.569984
2022-09-08T17:55:57Z,18s,895.343518,6.69696
2022-09-08T17:56:11Z,14s,936.664798,6.651904
2022-09-08T17:56:26Z,15s,963.716694,7.96672
2022-09-08T17:56:37Z,11s,961.516965,7.4752
2022-09-08T17:56:56Z,19s,896.678591,7.716864
2022-09-08T17:57:14Z,18s,935.365384,7.31136
2022-09-08T17:57:28Z,14s,935.24502,7.3728
2022-09-08T17:57:28Z,14s,935.24502,7.3728
2022-09-08T17:57:47Z,19s,936.368558,7.467008
2022-09-08T17:58:04Z,17s,958.458939,7.307264
2022-09-08T17:58:18Z,14s,902.358482,7.225344
2022-09-08T17:58:35Z,17s,932.182072,7.49568
2022-09-08T17:58:54Z,19s,959.057878,7.278592
2022-09-08T17:59:05Z,11s,944.250821,7.31136
2022-09-08T17:59:21Z,16s,918.438644,7.303168
2022-09-08T17:59:39Z,18s,936.183373,7.43424
2022-09-08T17:59:53Z,14s,922.593611,7.200768
2022-09-08T18:00:05Z,12s,947.431779,7.446528
2022-09-08T18:00:22Z,17s,952.279182,7.569408
2022-09-08T18:00:41Z,19s,937.680011,7.376896
2022-09-08T18:01:01Z,20s,931.320556,7.29088
2022-09-08T18:01:01Z,20s,931.320556,7.29088
2022-09-08T18:01:17Z,16s,959.222362,7.155712
2022-09-08T18:01:35Z,18s,925.667717,7.057408
2022-09-08T18:01:53Z,18s,909.43815,7.10656
2022-09-08T18:02:05Z,12s,927.785541,7.282688
2022-09-08T18:02:23Z,18s,935.812837,7.43424
2022-09-08T18:02:38Z,15s,967.572533,7.315456
2022-09-08T18:02:49Z,11s,909.521128,7.581696
2022-09-08T18:03:04Z,15s,980.32558,7.327744
2022-09-08T18:03:23Z,19s,935.854489,7.29088
2022-09-08T18:03:35Z,12s,873.061115,7.221248
2022-09-08T18:03:47Z,12s,958.781703,7.458816
2022-09-08T18:04:06Z,19s,931.328134,7.221248
2022-09-08T18:04:18Z,12s,943.904588,7.22944
