timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T18:08:13Z,27s,49.390943,5.554176
2022-09-08T18:08:27Z,14s,48.690204,5.533696
2022-09-08T18:08:39Z,12s,51.249329,5.554176
2022-09-08T18:08:56Z,17s,50.194147,5.599232
2022-09-08T18:08:56Z,17s,50.194147,5.599232
2022-09-08T18:09:27Z,31s,49.974417,5.615616
2022-09-08T18:09:27Z,31s,49.974417,5.615616
2022-09-08T18:09:56Z,29s,48.756804,5.615616
2022-09-08T18:10:13Z,17s,52.334805,5.619712
2022-09-08T18:10:25Z,12s,46.438137,5.619712
2022-09-08T18:10:42Z,17s,50.010852,5.586944
2022-09-08T18:10:54Z,12s,49.897821,5.722112
2022-09-08T18:11:10Z,16s,52.800449,5.595136
2022-09-08T18:11:27Z,17s,49.39956,4.763648
