timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T18:33:31Z,14s,386.056225,5.492736
2022-09-08T18:33:44Z,13s,775.496205,5.627904
2022-09-08T18:34:03Z,19s,994.587546,5.767168
2022-09-08T18:34:15Z,12s,1060.331974,6.28736
2022-09-08T18:34:31Z,16s,1367.225202,6.63552
2022-09-08T18:34:44Z,13s,1001.531803,6.63552
2022-09-08T18:35:09Z,25s,1147.458543,6.623232
2022-09-08T18:35:22Z,13s,1071.718961,6.639616
2022-09-08T18:35:35Z,13s,1102.382944,6.627328
2022-09-08T18:35:54Z,19s,962.39857,6.656
2022-09-08T18:36:08Z,14s,1067.876917,6.668288
2022-09-08T18:36:24Z,16s,1056.362734,6.643712
2022-09-08T18:36:41Z,17s,1051.48943,6.627328
2022-09-08T18:36:52Z,11s,902.929239,6.627328
2022-09-08T18:37:07Z,15s,1081.823241,6.631424
2022-09-08T18:37:20Z,13s,1093.692796,6.647808
2022-09-08T18:37:32Z,12s,1037.880679,6.656
2022-09-08T18:37:47Z,15s,958.775805,6.61504
2022-09-08T18:38:03Z,16s,1144.226671,6.643712
2022-09-08T18:38:19Z,16s,1111.154581,6.660096
2022-09-08T18:38:38Z,19s,1042.064275,6.803456
2022-09-08T18:38:57Z,19s,1192.367799,6.664192
2022-09-08T18:39:08Z,11s,1056.668595,6.660096
2022-09-08T18:39:20Z,12s,1112.951461,6.660096
2022-09-08T18:39:37Z,17s,1015.196594,6.651904
2022-09-08T18:39:49Z,12s,909.256659,6.651904
2022-09-08T18:40:07Z,18s,1117.838939,6.651904
2022-09-08T18:40:22Z,15s,968.951639,6.316032
