timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T18:34:32Z,14s,688.494138,5.664768
2022-09-08T18:34:52Z,20s,1027.853673,5.779456
2022-09-08T18:35:05Z,13s,875.855696,5.824512
2022-09-08T18:35:17Z,12s,1054.414238,5.832704
2022-09-08T18:35:27Z,10s,948.149908,5.853184
2022-09-08T18:35:54Z,27s,1075.026041,5.873664
2022-09-08T18:36:04Z,10s,1039.674207,5.885952
2022-09-08T18:36:20Z,16s,956.941852,6.033408
2022-09-08T18:36:35Z,15s,971.201525,5.971968
2022-09-08T18:36:48Z,13s,1167.944235,6.017024
2022-09-08T18:37:04Z,16s,1050.896559,6.045696
2022-09-08T18:37:15Z,11s,941.027045,6.045696
2022-09-08T18:37:34Z,19s,1058.315659,6.033408
2022-09-08T18:37:49Z,15s,1008.288554,6.045696
2022-09-08T18:38:06Z,17s,987.311318,6.053888
2022-09-08T18:38:18Z,12s,934.167689,6.066176
2022-09-08T18:38:33Z,15s,1080.329348,6.053888
2022-09-08T18:38:49Z,16s,927.560866,6.053888
2022-09-08T18:38:59Z,10s,888.54433,6.033408
2022-09-08T18:39:17Z,18s,1054.251046,6.070272
2022-09-08T18:39:35Z,18s,1067.64218,6.06208
2022-09-08T18:39:53Z,18s,1049.981221,6.08256
2022-09-08T18:40:06Z,13s,1044.549971,6.086656
2022-09-08T18:40:24Z,18s,987.872535,6.098944
