timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T18:51:30Z,14s,511.753219,5.599232
2022-09-08T18:51:49Z,19s,883.386491,5.77536
2022-09-08T18:52:08Z,19s,1065.027552,5.844992
2022-09-08T18:52:18Z,10s,1088.573841,5.894144
2022-09-08T18:52:30Z,12s,871.341662,5.902336
2022-09-08T18:52:50Z,20s,862.704384,5.906432
2022-09-08T18:53:05Z,15s,1032.633845,5.914624
2022-09-08T18:53:21Z,16s,1086.006746,5.914624
2022-09-08T18:53:39Z,18s,1007.294313,5.9392
2022-09-08T18:53:50Z,11s,1058.069109,5.955584
2022-09-08T18:54:10Z,20s,1068.814928,5.98016
2022-09-08T18:54:25Z,15s,1005.629838,5.98016
2022-09-08T18:54:41Z,16s,854.410609,5.984256
2022-09-08T18:54:56Z,15s,1102.827719,5.98016
2022-09-08T18:54:56Z,15s,1102.827719,5.98016
2022-09-08T18:55:15Z,19s,1009.518993,6.008832
2022-09-08T18:55:29Z,14s,1103.253658,6.017024
2022-09-08T18:55:45Z,16s,993.633175,6.017024
2022-09-08T18:56:12Z,27s,1040.412789,6.176768
2022-09-08T18:56:12Z,27s,1040.412789,6.176768
2022-09-08T18:56:31Z,19s,928.778281,6.053888
2022-09-08T18:56:46Z,15s,944.844632,6.033408
2022-09-08T18:57:02Z,16s,1004.725436,6.0416
2022-09-08T18:57:21Z,19s,1077.179801,6.066176
2022-09-08T18:57:36Z,15s,921.373402,6.078464
2022-09-08T18:57:47Z,11s,1019.919145,6.057984
