timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T19:05:33Z,13s,356.241185,5.36576
2022-09-08T19:05:50Z,17s,907.089374,5.619712
2022-09-08T19:06:07Z,17s,1056.860428,5.697536
2022-09-08T19:06:17Z,10s,1581.763113,5.808128
2022-09-08T19:06:31Z,14s,2001.468185,6.393856
2022-09-08T19:06:48Z,17s,2019.264387,6.311936
2022-09-08T19:07:02Z,14s,2075.230327,6.406144
2022-09-08T19:07:17Z,15s,2128.983502,6.586368
2022-09-08T19:07:41Z,24s,1993.536846,6.41024
2022-09-08T19:07:53Z,12s,2176.909863,6.426624
2022-09-08T19:08:11Z,18s,2041.053341,6.569984
2022-09-08T19:08:11Z,18s,2041.053341,6.569984
2022-09-08T19:08:30Z,19s,2008.293756,6.344704
2022-09-08T19:08:48Z,18s,2099.170634,6.3488
2022-09-08T19:09:02Z,14s,1967.063595,6.422528
2022-09-08T19:09:19Z,17s,2068.074716,6.311936
2022-09-08T19:09:34Z,15s,2023.051662,6.59456
2022-09-08T19:09:51Z,17s,2049.552812,6.496256
2022-09-08T19:10:08Z,17s,2083.480283,6.459392
2022-09-08T19:10:20Z,12s,1982.313032,6.496256
2022-09-08T19:10:35Z,15s,2086.330132,6.47168
2022-09-08T19:10:51Z,16s,2048.003188,6.549504
2022-09-08T19:11:11Z,20s,2049.455121,6.578176
2022-09-08T19:11:11Z,20s,2049.455121,6.578176
2022-09-08T19:11:41Z,30s,2032.096569,6.47168
2022-09-08T19:11:51Z,10s,2204.102782,6.496256
2022-09-08T19:12:02Z,11s,1928.916334,6.500352
2022-09-08T19:12:21Z,19s,2020.836597,6.565888
2022-09-08T19:12:35Z,14s,2047.990066,6.508544
2022-09-08T19:12:47Z,12s,2095.720511,6.504448
2022-09-08T19:13:01Z,14s,1985.433172,6.582272
2022-09-08T19:13:15Z,14s,2115.10095,6.643712
2022-09-08T19:13:41Z,26s,2146.263198,6.762496
2022-09-08T19:13:41Z,26s,2146.263198,6.762496
2022-09-08T19:14:11Z,30s,2039.07222,6.582272
2022-09-08T19:14:11Z,30s,2039.07222,6.582272
2022-09-08T19:14:31Z,20s,1939.884125,6.639616
2022-09-08T19:14:50Z,19s,2115.472364,6.602752
2022-09-08T19:15:04Z,14s,1967.751216,6.651904
2022-09-08T19:15:20Z,16s,2041.314541,6.660096
2022-09-08T19:15:32Z,12s,2097.150116,6.668288
2022-09-08T19:15:47Z,15s,2096.370915,6.754304
2022-09-08T19:16:02Z,15s,1963.110448,6.647808
2022-09-08T19:16:15Z,13s,2090.479879,6.77888
