timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T19:26:32Z,17s,769.620429,5.701632
2022-09-08T19:26:47Z,15s,1037.725856,5.791744
2022-09-08T19:27:05Z,18s,1120.780678,5.922816
2022-09-08T19:27:19Z,14s,987.543936,5.808128
2022-09-08T19:27:31Z,12s,1111.505886,5.81632
2022-09-08T19:27:46Z,15s,1121.345525,5.824512
2022-09-08T19:27:59Z,13s,1119.267103,5.844992
2022-09-08T19:28:18Z,19s,1028.390635,5.865472
2022-09-08T19:28:32Z,14s,1056.260025,5.988352
2022-09-08T19:28:47Z,15s,1023.052134,5.869568
2022-09-08T19:29:03Z,16s,1155.165527,5.885952
2022-09-08T19:29:20Z,17s,1096.446444,5.885952
2022-09-08T19:29:39Z,19s,980.530445,5.914624
2022-09-08T19:29:54Z,15s,992.425816,5.902336
2022-09-08T19:29:54Z,15s,992.425816,5.902336
2022-09-08T19:30:14Z,20s,875.869808,5.910528
2022-09-08T19:30:31Z,17s,1031.431664,5.926912
2022-09-08T19:30:50Z,19s,994.02527,5.922816
2022-09-08T19:31:02Z,12s,1064.133376,5.943296
2022-09-08T19:31:18Z,16s,1001.174853,5.951488
2022-09-08T19:31:33Z,15s,1061.109938,5.984256
2022-09-08T19:31:45Z,12s,1116.652791,6.00064
2022-09-08T19:32:18Z,15s,1045.785871,6.008832
2022-09-08T19:32:34Z,16s,1061.325429,6.017024
2022-09-08T19:32:45Z,11s,976.817287,6.017024
