timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T19:25:35Z,20s,293.703359,5.312512
2022-09-08T19:25:48Z,13s,658.694998,5.40672
2022-09-08T19:26:05Z,17s,732.746291,5.44768
2022-09-08T19:26:18Z,13s,1224.880295,6.070272
2022-09-08T19:26:34Z,16s,1100.145822,6.090752
2022-09-08T19:26:46Z,12s,979.925842,6.111232
2022-09-08T19:27:04Z,18s,1001.026936,6.094848
2022-09-08T19:27:26Z,22s,978.256149,6.057984
2022-09-08T19:27:26Z,22s,978.256149,6.057984
2022-09-08T19:27:45Z,19s,935.828944,6.049792
2022-09-08T19:28:11Z,26s,955.899092,6.08256
2022-09-08T19:28:11Z,26s,955.899092,6.08256
2022-09-08T19:28:28Z,17s,974.663811,6.115328
2022-09-08T19:28:45Z,17s,965.083207,6.115328
2022-09-08T19:29:00Z,15s,973.986782,6.094848
2022-09-08T19:29:18Z,18s,935.420734,6.12352
2022-09-08T19:29:30Z,12s,996.042672,6.254592
2022-09-08T19:29:44Z,14s,1087.849983,6.135808
2022-09-08T19:30:01Z,17s,1076.051404,6.144
2022-09-08T19:30:19Z,18s,1142.057014,6.168576
2022-09-08T19:30:36Z,17s,1053.649564,6.18496
2022-09-08T19:30:49Z,13s,989.740841,6.156288
2022-09-08T19:31:02Z,13s,1004.380582,6.189056
2022-09-08T19:31:19Z,17s,1024.539007,6.197248
2022-09-08T19:31:38Z,19s,913.428661,6.176768
2022-09-08T19:31:51Z,13s,1001.515013,6.209536
2022-09-08T19:32:21Z,16s,982.912735,6.209536
2022-09-08T19:32:32Z,11s,903.393039,6.250496
2022-09-08T19:32:45Z,13s,1033.990238,6.22592
2022-09-08T19:32:58Z,13s,920.94232,6.230016
2022-09-08T19:33:18Z,20s,1355.21772,6.414336
2022-09-08T19:33:38Z,20s,1781.579676,6.746112
2022-09-08T19:33:55Z,17s,1902.552018,6.84032
2022-09-08T19:34:07Z,12s,1858.934805,6.721536
2022-09-08T19:34:21Z,14s,1784.710791,7.114752
