timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T19:21:24Z,12s,175.552841,5.296128
2022-09-08T19:21:24Z,12s,175.552841,5.296128
2022-09-08T19:21:43Z,19s,210.907936,5.595136
2022-09-08T19:22:01Z,18s,291.785837,5.967872
2022-09-08T19:22:24Z,23s,290.536078,5.9392
2022-09-08T19:22:39Z,15s,204.719815,5.9392
2022-09-08T19:22:57Z,18s,313.745718,6.500352
2022-09-08T19:22:57Z,18s,313.745718,6.500352
2022-09-08T19:23:13Z,16s,308.766842,6.557696
2022-09-08T19:23:32Z,19s,292.670377,6.619136
2022-09-08T19:23:43Z,11s,323.378836,6.602752
2022-09-08T19:24:03Z,20s,296.51819,6.610944
2022-09-08T19:24:21Z,18s,305.574745,6.590464
2022-09-08T19:24:33Z,12s,293.241153,6.483968
2022-09-08T19:24:49Z,16s,309.665532,6.61504
