timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T19:41:29Z,17s,157.255653,6.078464
2022-09-08T19:41:42Z,13s,472.393964,6.67648
2022-09-08T19:41:59Z,17s,478.818254,6.774784
2022-09-08T19:42:17Z,18s,463.715872,7.204864
2022-09-08T19:42:34Z,17s,496.972915,6.680576
2022-09-08T19:42:52Z,18s,459.430549,6.79936
2022-09-08T19:43:03Z,11s,484.820151,6.791168
2022-09-08T19:43:16Z,13s,489.778984,6.672384
2022-09-08T19:43:33Z,17s,459.435206,6.791168
2022-09-08T19:43:46Z,13s,462.574316,6.926336
