timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T20:03:27Z,18s,119.642462,5.30432
2022-09-08T20:03:56Z,12s,632.745736,6.447104
2022-09-08T20:04:13Z,17s,606.430885,6.455296
2022-09-08T20:04:37Z,24s,608.629494,6.500352
2022-09-08T20:04:47Z,10s,638.954687,6.51264
2022-09-08T20:05:00Z,13s,627.095968,6.721536
2022-09-08T20:05:13Z,13s,595.159156,6.750208
2022-09-08T20:05:28Z,15s,609.593943,7.000064
2022-09-08T20:05:43Z,15s,614.022408,6.725632
2022-09-08T20:06:01Z,18s,633.934536,6.774784
2022-09-08T20:06:17Z,16s,600.373781,7.041024
2022-09-08T20:06:35Z,18s,622.136635,6.828032
2022-09-08T20:06:35Z,18s,622.136635,6.828032
2022-09-08T20:06:55Z,20s,601.415542,7.02464
2022-09-08T20:07:10Z,15s,609.214819,6.701056
2022-09-08T20:07:36Z,26s,614.230125,6.684672
2022-09-08T20:07:46Z,10s,632.299304,6.811648
2022-09-08T20:07:59Z,13s,590.621945,6.725632
2022-09-08T20:08:12Z,13s,632.655147,6.844416
2022-09-08T20:08:23Z,11s,642.022941,6.934528
2022-09-08T20:08:39Z,16s,613.411151,6.918144
2022-09-08T20:08:58Z,19s,606.521966,7.151616
2022-09-08T20:09:11Z,13s,623.939358,6.668288
2022-09-08T20:09:23Z,12s,609.031137,6.893568
2022-09-08T20:09:40Z,17s,604.343975,6.803456
2022-09-08T20:09:54Z,14s,630.193317,6.81984
2022-09-08T20:10:14Z,20s,589.198873,6.709248
