timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T20:16:21Z,18s,157.339108,5.771264
2022-09-08T20:16:38Z,17s,167.923602,5.861376
2022-09-08T20:16:53Z,15s,169.226958,6.017024
2022-09-08T20:17:06Z,13s,166.33356,5.890048
2022-09-08T20:17:20Z,14s,169.320917,5.894144
2022-09-08T20:17:44Z,24s,161.076222,5.922816
2022-09-08T20:17:44Z,24s,161.076222,5.922816
2022-09-08T20:18:03Z,19s,168.751763,6.049792
2022-09-08T20:18:22Z,19s,165.853474,5.922816
2022-09-08T20:18:41Z,19s,168.772596,5.922816
2022-09-08T20:18:55Z,14s,161.102902,5.922816
2022-09-08T20:19:10Z,15s,163.847426,5.91872
2022-09-08T20:19:29Z,19s,165.667975,6.045696
2022-09-08T20:19:41Z,12s,167.601772,5.91872
