timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T20:19:20Z,17s,194.11188,5.316608
2022-09-08T20:19:34Z,14s,327.993168,5.353472
2022-09-08T20:19:52Z,18s,318.849858,5.382144
2022-09-08T20:20:05Z,13s,427.615785,6.455296
2022-09-08T20:20:30Z,25s,535.071651,7.213056
2022-09-08T20:20:44Z,14s,535.558009,7.458816
2022-09-08T20:20:57Z,13s,544.363402,7.467008
2022-09-08T20:21:08Z,11s,506.286263,7.20896
2022-09-08T20:21:25Z,17s,552.050027,7.335936
2022-09-08T20:21:39Z,14s,532.240844,7.307264
2022-09-08T20:21:52Z,13s,506.807436,7.213056
2022-09-08T20:22:09Z,17s,559.71112,7.303168
2022-09-08T20:22:32Z,23s,537.962636,7.118848
2022-09-08T20:22:32Z,23s,537.962636,7.118848
2022-09-08T20:22:52Z,20s,522.709853,6.582272
2022-09-08T20:23:09Z,17s,536.427267,6.602752
2022-09-08T20:23:27Z,18s,539.955636,6.754304
2022-09-08T20:23:42Z,15s,532.860521,6.643712
2022-09-08T20:23:57Z,15s,527.259964,6.627328
2022-09-08T20:24:15Z,18s,548.563716,6.51264
2022-09-08T20:24:15Z,18s,548.563716,6.51264
2022-09-08T20:24:34Z,19s,535.719102,6.51264
2022-09-08T20:24:51Z,17s,532.423302,6.475776
2022-09-08T20:25:09Z,18s,523.882905,6.656
2022-09-08T20:25:19Z,10s,573.659988,6.795264
2022-09-08T20:25:38Z,19s,512.741469,6.606848
2022-09-08T20:25:59Z,21s,550.841133,6.668288
2022-09-08T20:25:59Z,21s,550.841133,6.668288
2022-09-08T20:26:19Z,20s,522.193956,6.537216
2022-09-08T20:26:33Z,14s,547.161942,6.488064
