timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T20:52:48Z,10s,51.018013,5.632
2022-09-08T20:53:02Z,14s,49.662702,5.61152
2022-09-08T20:53:18Z,16s,49.644284,5.644288
2022-09-08T20:53:36Z,18s,50.212058,5.783552
2022-09-08T20:53:46Z,10s,49.780463,5.79584
2022-09-08T20:54:06Z,20s,49.678908,5.742592
2022-09-08T20:54:17Z,11s,53.764371,5.750784
2022-09-08T20:54:29Z,12s,46.846455,5.763072
2022-09-08T20:54:46Z,17s,52.54191,5.77536
2022-09-08T20:54:59Z,13s,49.24197,5.77536
2022-09-08T20:55:15Z,16s,48.724944,5.758976
2022-09-08T20:55:31Z,16s,51.67601,5.746688
2022-09-08T20:55:45Z,14s,48.750739,5.746688
