timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T20:56:10Z,14s,359.696187,5.722112
2022-09-08T20:56:26Z,16s,892.979095,5.828608
2022-09-08T20:56:44Z,18s,937.633553,6.16448
2022-09-08T20:56:55Z,11s,943.336509,6.664192
2022-09-08T20:57:23Z,28s,919.404787,6.688768
2022-09-08T20:57:33Z,10s,951.90948,6.672384
2022-09-08T20:57:50Z,17s,958.698793,6.893568
2022-09-08T20:57:50Z,17s,958.698793,6.893568
2022-09-08T20:58:21Z,31s,914.725736,6.69696
2022-09-08T20:58:37Z,16s,901.011807,6.684672
2022-09-08T20:58:37Z,16s,901.011807,6.684672
2022-09-08T20:58:55Z,18s,917.462657,7.18848
2022-09-08T20:59:11Z,16s,949.361851,8.27392
2022-09-08T20:59:23Z,12s,973.513116,7.20896
