timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T20:55:16Z,20s,96.718972,5.300224
2022-09-08T20:55:35Z,19s,611.913348,5.484544
2022-09-08T20:55:51Z,16s,298.927985,5.500928
2022-09-08T20:55:51Z,16s,298.927985,5.500928
2022-09-08T20:56:21Z,30s,570.668368,6.238208
2022-09-08T20:56:36Z,15s,943.520737,6.176768
2022-09-08T20:56:52Z,16s,892.364152,6.234112
2022-09-08T20:56:52Z,16s,892.364152,6.234112
2022-09-08T20:57:10Z,18s,918.984729,6.242304
2022-09-08T20:57:27Z,17s,938.313448,6.242304
2022-09-08T20:57:43Z,16s,968.867165,6.144
2022-09-08T20:58:07Z,24s,894.698858,6.119424
2022-09-08T20:58:07Z,24s,894.698858,6.119424
2022-09-08T20:58:23Z,16s,919.869092,6.242304
