timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T21:10:39Z,15s,49.214999,5.627904
2022-09-08T21:10:52Z,13s,47.701442,5.677056
2022-09-08T21:11:11Z,19s,52.132734,5.844992
2022-09-08T21:11:35Z,24s,48.414855,6.299648
2022-09-08T21:11:48Z,13s,52.881634,6.316032
2022-09-08T21:12:01Z,13s,47.50627,6.316032
2022-09-08T21:12:18Z,17s,49.043188,6.324224
2022-09-08T21:12:33Z,15s,52.256218,6.324224
2022-09-08T21:12:44Z,11s,50.507237,6.32832
2022-09-08T21:12:55Z,11s,51.047608,6.332416
2022-09-08T21:13:10Z,15s,47.557048,6.459392
2022-09-08T21:13:29Z,19s,50.982736,6.316032
2022-09-08T21:13:48Z,19s,49.037935,6.316032
2022-09-08T21:13:48Z,19s,49.037935,6.316032
