timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T21:13:11Z,16s,30.595223,5.218304
2022-09-08T21:13:30Z,19s,270.4038,5.697536
2022-09-08T21:13:48Z,18s,282.975435,5.648384
2022-09-08T21:14:00Z,12s,167.098188,5.648384
2022-09-08T21:14:12Z,12s,200.946824,5.648384
2022-09-08T21:14:26Z,14s,345.735259,6.275072
2022-09-08T21:14:45Z,19s,501.717887,6.774784
2022-09-08T21:14:56Z,11s,518.953054,6.565888
2022-09-08T21:15:15Z,19s,534.233801,6.565888
2022-09-08T21:15:29Z,14s,512.971066,6.815744
2022-09-08T21:15:45Z,16s,537.979474,6.520832
2022-09-08T21:15:56Z,11s,503.623127,6.67648
2022-09-08T21:16:11Z,15s,531.189956,6.680576
2022-09-08T21:16:23Z,12s,527.751437,6.680576
2022-09-08T21:16:40Z,17s,513.449037,6.69696
2022-09-08T21:16:58Z,18s,529.979617,6.647808
2022-09-08T21:17:18Z,20s,520.755728,6.627328
2022-09-08T21:17:35Z,17s,542.115255,6.750208
