timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T21:28:44Z,20s,50.070278,5.595136
2022-09-08T21:28:57Z,13s,50.917917,5.681152
2022-09-08T21:29:12Z,15s,48.719258,5.758976
2022-09-08T21:29:28Z,16s,51.843686,5.79584
2022-09-08T21:29:39Z,11s,49.217281,5.861376
2022-09-08T21:29:53Z,14s,50.971728,6.012928
2022-09-08T21:30:20Z,27s,49.958736,5.894144
2022-09-08T21:30:34Z,14s,48.748689,5.89824
2022-09-08T21:30:46Z,12s,51.355526,5.89824
2022-09-08T21:30:57Z,11s,47.068468,5.926912
2022-09-08T21:31:20Z,23s,49.40358,5.95968
2022-09-08T21:31:32Z,12s,51.253593,5.910528
2022-09-08T21:31:46Z,14s,50.247882,5.914624
