timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T21:32:06Z,13s,131.416557,5.234688
2022-09-08T21:32:19Z,13s,602.803165,6.303744
2022-09-08T21:32:34Z,15s,610.707003,6.500352
2022-09-08T21:32:34Z,15s,610.707003,6.500352
2022-09-08T21:32:53Z,19s,621.504052,6.483968
2022-09-08T21:33:10Z,17s,631.288614,6.71744
2022-09-08T21:33:22Z,12s,659.439401,6.725632
2022-09-08T21:33:50Z,28s,615.143735,6.668288
2022-09-08T21:33:50Z,28s,615.143735,6.668288
2022-09-08T21:34:08Z,18s,637.293513,6.88128
2022-09-08T21:34:36Z,28s,620.869165,6.742016
2022-09-08T21:34:48Z,12s,638.397372,6.660096
2022-09-08T21:34:48Z,12s,638.397372,6.660096
2022-09-08T21:35:08Z,20s,627.962501,6.63552
2022-09-08T21:35:22Z,14s,641.48215,6.623232
