timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T21:49:15Z,20s,73.575931,5.2224
2022-09-08T21:49:26Z,11s,554.265941,5.57056
2022-09-08T21:49:38Z,12s,651.73055,5.648384
2022-09-08T21:49:56Z,18s,380.324153,5.705728
2022-09-08T21:50:16Z,20s,435.06988,6.18496
2022-09-08T21:50:33Z,17s,741.128543,6.221824
2022-09-08T21:50:49Z,16s,721.620071,6.53312
2022-09-08T21:51:05Z,16s,718.307209,6.557696
2022-09-08T21:51:05Z,16s,718.307209,6.557696
2022-09-08T21:51:24Z,19s,743.065653,7.131136
2022-09-08T21:51:48Z,24s,738.867365,6.811648
2022-09-08T21:52:04Z,16s,741.176552,6.807552
2022-09-08T21:52:20Z,16s,741.218009,6.63552
2022-09-08T21:52:20Z,16s,741.218009,6.63552
2022-09-08T21:52:40Z,20s,736.363363,6.602752
2022-09-08T21:52:59Z,19s,739.875252,6.938624
2022-09-08T21:53:12Z,13s,707.099538,6.836224
2022-09-08T21:53:30Z,18s,744.061438,6.852608
