timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T22:29:12Z,18s,664.961439,5.701632
2022-09-08T22:29:30Z,18s,979.149387,5.935104
2022-09-08T22:29:47Z,17s,1052.652971,6.00064
2022-09-08T22:30:01Z,14s,1795.337132,6.234112
2022-09-08T22:30:19Z,18s,959.427261,6.22592
2022-09-08T22:30:19Z,18s,959.427261,6.22592
2022-09-08T22:30:48Z,29s,1013.402535,6.295552
2022-09-08T22:30:58Z,10s,1047.991531,6.197248
2022-09-08T22:31:14Z,16s,973.681619,6.189056
2022-09-08T22:31:33Z,19s,968.568272,6.20544
2022-09-08T22:31:46Z,13s,1083.181623,6.234112
2022-09-08T22:31:56Z,10s,1031.442001,6.2464
2022-09-08T22:32:11Z,15s,903.19636,6.279168
2022-09-08T22:32:25Z,14s,1052.019508,6.279168
2022-09-08T22:32:49Z,24s,983.91931,6.279168
2022-09-08T22:33:00Z,11s,1041.403045,6.316032
2022-09-08T22:33:15Z,15s,1137.049418,6.283264
2022-09-08T22:33:33Z,18s,960.249589,6.28736
2022-09-08T22:33:33Z,18s,960.249589,6.28736
2022-09-08T22:34:02Z,29s,1068.426165,6.32832
2022-09-08T22:34:13Z,11s,1116.018354,6.3488
2022-09-08T22:34:28Z,15s,1008.16984,6.356992
2022-09-08T22:34:46Z,18s,1093.004655,6.324224
2022-09-08T22:34:46Z,18s,1093.004655,6.324224
2022-09-08T22:35:18Z,32s,1064.044306,6.340608
2022-09-08T22:35:18Z,32s,1064.044306,6.340608
2022-09-08T22:35:47Z,29s,1002.796954,6.373376
2022-09-08T22:35:58Z,11s,965.283215,6.377472
2022-09-08T22:36:17Z,19s,985.693142,6.377472
2022-09-08T22:36:34Z,17s,1086.635171,6.377472
2022-09-08T22:36:34Z,17s,1086.635171,6.377472
2022-09-08T22:37:01Z,27s,974.226525,6.397952
