timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T22:42:04Z,13s,63.123185,5.238784
2022-09-08T22:42:34Z,30s,754.217662,5.709824
2022-09-08T22:42:47Z,13s,1107.078856,5.783552
2022-09-08T22:42:47Z,13s,1107.078856,5.783552
2022-09-08T22:43:07Z,20s,1048.408873,5.85728
2022-09-08T22:43:23Z,16s,1142.398892,5.861376
2022-09-08T22:43:43Z,20s,1171.35843,5.87776
2022-09-08T22:43:57Z,14s,1364.143489,0.007168
2022-09-08T22:44:17Z,20s,1466.897434,7.749632
2022-09-08T22:44:17Z,20s,1466.897434,7.749632
2022-09-08T22:44:36Z,19s,1489.430807,8.052736
2022-09-08T22:44:53Z,17s,1525.374795,8.27392
2022-09-08T22:45:13Z,20s,1432.504395,8.04864
2022-09-08T22:45:23Z,10s,1560.984041,8.245248
2022-09-08T22:45:40Z,17s,1529.71246,8.224768
2022-09-08T22:45:56Z,16s,1417.788744,8.298496
2022-09-08T22:46:10Z,14s,1522.547999,8.228864
2022-09-08T22:46:34Z,24s,1474.644325,8.167424
2022-09-08T22:46:34Z,24s,1474.644325,8.167424
2022-09-08T22:46:52Z,18s,1509.638474,8.45824
2022-09-08T22:47:09Z,17s,1485.5763,8.425472
2022-09-08T22:47:26Z,17s,1529.921194,8.41728
2022-09-08T22:47:48Z,22s,1474.099244,8.17152
2022-09-08T22:48:01Z,13s,1476.508104,8.380416
2022-09-08T22:48:16Z,15s,1523.897424,8.179712
2022-09-08T22:48:29Z,13s,1524.832237,8.216576
2022-09-08T22:48:47Z,18s,1454.599324,8.134656
2022-09-08T22:48:59Z,12s,1503.112876,8.310784
2022-09-08T22:49:15Z,16s,1465.970484,8.441856
2022-09-08T22:49:32Z,17s,1501.461295,8.351744
2022-09-08T22:49:43Z,11s,1508.863558,8.35584
2022-09-08T22:50:03Z,20s,1484.153551,8.503296
2022-09-08T22:50:03Z,20s,1484.153551,8.503296
2022-09-08T22:50:21Z,18s,1533.140864,8.511488
2022-09-08T22:50:38Z,17s,1496.12028,8.196096
2022-09-08T22:50:54Z,16s,1517.770652,8.486912
2022-09-08T22:51:14Z,20s,1430.116016,8.450048
2022-09-08T22:51:32Z,18s,1515.729237,8.33536
2022-09-08T22:51:45Z,13s,1473.495259,8.409088
2022-09-08T22:51:59Z,14s,1549.88877,8.37632
2022-09-08T22:52:15Z,16s,1482.376142,8.527872
2022-09-08T22:52:29Z,14s,1496.038329,8.507392
2022-09-08T22:52:44Z,15s,1522.059052,8.384512
2022-09-08T22:52:44Z,15s,1522.059052,8.384512
2022-09-08T22:53:19Z,35s,1451.828784,8.37632
2022-09-08T22:53:19Z,35s,1451.828784,8.37632
2022-09-08T22:53:37Z,18s,1505.072188,8.425472
2022-09-08T22:53:50Z,13s,1479.001908,8.585216
2022-09-08T22:54:17Z,27s,1498.04046,8.187904
2022-09-08T22:54:29Z,12s,1551.60325,8.265728
2022-09-08T22:54:47Z,18s,1517.103761,8.409088
2022-09-08T22:54:58Z,11s,1371.966874,8.327168
