timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T15:14:59Z,30s,525.628414,5.57056
2022-09-08T15:15:10Z,11s,706.038428,5.615616
2022-09-08T15:15:29Z,19s,1322.221969,6.504448
2022-09-08T15:15:42Z,13s,1007.198847,6.475776
2022-09-08T15:15:54Z,12s,952.713635,6.483968
2022-09-08T15:16:12Z,18s,1175.920615,6.508544
2022-09-08T15:16:23Z,11s,988.614425,6.53312
2022-09-08T15:16:36Z,13s,1102.873671,6.53312
2022-09-08T15:16:51Z,15s,986.873593,6.49216
2022-09-08T15:17:02Z,11s,1108.92103,6.496256
2022-09-08T15:17:28Z,26s,985.521315,6.189056
2022-09-08T15:17:28Z,26s,985.521315,6.189056
2022-09-08T15:17:58Z,30s,1055.503218,6.176768
2022-09-08T15:18:09Z,11s,1087.162638,6.168576
2022-09-08T15:18:27Z,18s,1055.801452,6.20544
2022-09-08T15:18:42Z,15s,1034.768053,6.18496
2022-09-08T15:18:53Z,11s,979.756646,6.189056
2022-09-08T15:19:07Z,14s,971.441141,6.193152
2022-09-08T15:19:24Z,17s,968.41786,6.193152
2022-09-08T15:19:39Z,15s,1256.030429,6.22592
2022-09-08T15:19:54Z,15s,1050.168465,6.242304
2022-09-08T15:20:06Z,12s,1127.34127,6.242304
2022-09-08T15:20:24Z,18s,1037.246612,6.242304
2022-09-08T15:20:41Z,17s,1008.910851,6.242304
2022-09-08T15:20:41Z,17s,1008.910851,6.242304
2022-09-08T15:21:00Z,19s,930.505005,6.2464
2022-09-08T15:21:25Z,25s,1136.806809,6.238208
2022-09-08T15:21:39Z,14s,1024.840355,6.238208
2022-09-08T15:21:50Z,11s,1132.438599,6.283264
2022-09-08T15:22:01Z,11s,1078.246862,6.283264
2022-09-08T15:22:29Z,28s,1404.4599,7.733248
