timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T23:19:37Z,20s,49.293728,5.476352
2022-09-08T23:19:52Z,15s,52.503685,5.533696
2022-09-08T23:20:11Z,19s,49.415595,5.595136
2022-09-08T23:20:26Z,15s,51.293282,5.627904
2022-09-08T23:20:45Z,19s,47.740714,5.75488
2022-09-08T23:20:45Z,19s,47.740714,5.75488
2022-09-08T23:21:03Z,18s,50.402233,5.627904
2022-09-08T23:21:16Z,13s,50.31073,5.627904
2022-09-08T23:21:44Z,28s,50.017725,5.627904
2022-09-08T23:21:44Z,28s,50.017725,5.627904
2022-09-08T23:22:02Z,18s,49.430679,5.582848
2022-09-08T23:22:18Z,16s,49.764439,5.582848
2022-09-08T23:22:38Z,20s,50.05191,5.586944
