timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T23:26:05Z,17s,662.460557,5.660672
2022-09-08T23:26:22Z,17s,1154.220083,5.808128
2022-09-08T23:26:38Z,16s,1046.806584,5.828608
2022-09-08T23:26:48Z,10s,1611.501237,6.033408
2022-09-08T23:27:04Z,16s,2148.760091,6.217728
2022-09-08T23:27:18Z,14s,1986.676069,0.006144
2022-09-08T23:27:37Z,19s,2055.365594,6.311936
2022-09-08T23:27:50Z,13s,2150.037397,6.385664
2022-09-08T23:28:07Z,17s,2067.69004,6.438912
2022-09-08T23:28:22Z,15s,2036.619457,6.434816
2022-09-08T23:28:36Z,14s,2003.917047,6.643712
2022-09-08T23:28:53Z,17s,2039.938923,6.361088
2022-09-08T23:29:06Z,13s,2204.169435,6.418432
2022-09-08T23:29:20Z,14s,2030.542826,6.393856
2022-09-08T23:29:32Z,12s,2102.562242,6.397952
2022-09-08T23:29:49Z,17s,2075.829525,6.434816
2022-09-08T23:30:04Z,15s,2037.91769,6.590464
2022-09-08T23:30:21Z,17s,2120.184105,6.639616
2022-09-08T23:30:40Z,19s,2054.54153,6.541312
2022-09-08T23:30:40Z,19s,2054.54153,6.541312
2022-09-08T23:31:00Z,20s,2019.475099,6.520832
2022-09-08T23:31:30Z,30s,2033.110792,6.520832
2022-09-08T23:31:42Z,12s,2122.726499,6.393856
2022-09-08T23:31:54Z,12s,2036.20854,6.434816
2022-09-08T23:32:07Z,13s,2101.235734,6.49216
2022-09-08T23:32:27Z,20s,2040.086824,6.504448
2022-09-08T23:32:44Z,17s,2084.344154,6.537216
2022-09-08T23:32:59Z,15s,2060.61226,6.41024
2022-09-08T23:33:10Z,11s,1986.763403,6.422528
2022-09-08T23:33:22Z,12s,2050.61431,6.434816
2022-09-08T23:33:38Z,16s,2094.194889,6.598656
2022-09-08T23:33:56Z,18s,2039.820388,6.750208
