timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T23:39:04Z,18s,85.196773,5.271552
2022-09-08T23:39:22Z,18s,421.970587,5.46816
2022-09-08T23:39:32Z,10s,318.198774,5.46816
2022-09-08T23:39:51Z,19s,275.778685,5.525504
2022-09-08T23:40:03Z,12s,244.035089,5.5296
2022-09-08T23:40:20Z,17s,464.425357,6.344704
2022-09-08T23:40:36Z,16s,657.607084,6.877184
2022-09-08T23:40:48Z,12s,0.651617,6.754304
2022-09-08T23:41:03Z,15s,632.565602,6.59456
2022-09-08T23:41:29Z,26s,630.629778,6.684672
2022-09-08T23:41:42Z,13s,671.725478,6.639616
2022-09-08T23:41:42Z,13s,671.725478,6.639616
2022-09-08T23:42:02Z,20s,641.805677,6.889472
2022-09-08T23:42:25Z,23s,654.968317,6.885376
2022-09-08T23:42:43Z,18s,631.523321,6.81984
2022-09-08T23:43:05Z,11s,640.268612,6.88128
2022-09-08T23:43:24Z,19s,652.532607,6.836224
