timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T23:57:54Z,13s,34.000362,5.357568
2022-09-08T23:57:54Z,13s,34.000362,5.357568
2022-09-08T23:58:23Z,29s,359.308315,5.476352
2022-09-08T23:58:36Z,13s,338.165743,5.480448
2022-09-08T23:58:48Z,12s,330.123904,5.517312
2022-09-08T23:59:08Z,20s,318.932634,5.660672
2022-09-08T23:59:19Z,11s,657.789674,6.488064
2022-09-08T23:59:34Z,15s,662.62584,6.754304
2022-09-08T23:59:50Z,16s,684.256767,6.905856
2022-09-09T00:00:06Z,16s,680.554325,7.028736
2022-09-09T00:00:06Z,16s,680.554325,7.028736
2022-09-09T00:00:26Z,20s,664.10198,7.18848
2022-09-09T00:00:45Z,19s,686.08699,7.159808
2022-09-09T00:01:00Z,15s,677.264842,6.975488
2022-09-09T00:01:20Z,20s,665.330983,6.893568
