timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T23:58:52Z,12s,76.9816,5.332992
2022-09-08T23:59:07Z,15s,248.366086,5.394432
2022-09-08T23:59:20Z,13s,645.553276,6.67648
2022-09-08T23:59:38Z,18s,697.810772,6.828032
2022-09-08T23:59:55Z,17s,644.868524,6.795264
2022-09-09T00:00:09Z,14s,662.341579,6.750208
2022-09-09T00:00:09Z,14s,662.341579,6.750208
2022-09-09T00:00:26Z,17s,680.389692,6.848512
2022-09-09T00:00:43Z,17s,673.851374,6.8608
2022-09-09T00:01:01Z,18s,686.373286,7.20896
2022-09-09T00:01:21Z,20s,669.578306,7.217152
2022-09-09T00:01:40Z,19s,665.466493,7.069696
2022-09-09T00:01:40Z,19s,665.466493,7.069696
2022-09-09T00:01:57Z,17s,659.439846,7.151616
2022-09-09T00:02:12Z,15s,684.75989,6.9632
