timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T00:25:50Z,13s,335.913586,5.423104
2022-09-09T00:25:50Z,13s,335.913586,5.423104
2022-09-09T00:26:18Z,28s,1157.265474,5.758976
2022-09-09T00:26:35Z,17s,1240.392197,5.873664
2022-09-09T00:26:50Z,15s,2096.251851,6.12352
2022-09-09T00:26:50Z,15s,2096.251851,6.12352
2022-09-09T00:27:07Z,17s,2044.947852,6.172672
2022-09-09T00:27:24Z,17s,2092.224521,6.242304
2022-09-09T00:27:43Z,19s,2080.012234,6.299648
2022-09-09T00:28:03Z,20s,2035.376855,6.352896
2022-09-09T00:28:14Z,11s,2140.173779,6.524928
2022-09-09T00:28:29Z,15s,2048.837057,6.455296
2022-09-09T00:28:49Z,20s,2047.43971,6.336512
2022-09-09T00:29:00Z,11s,2086.381611,6.373376
2022-09-09T00:29:12Z,12s,2027.521767,6.508544
2022-09-09T00:29:22Z,10s,2206.578403,6.365184
2022-09-09T00:29:37Z,15s,1981.710809,6.67648
2022-09-09T00:29:56Z,19s,2066.340709,6.627328
2022-09-09T00:30:13Z,17s,2039.702626,6.59456
2022-09-09T00:30:28Z,15s,2090.149406,6.447104
2022-09-09T00:30:46Z,18s,2074.604969,6.586368
2022-09-09T00:31:02Z,16s,2015.149451,6.47168
2022-09-09T00:31:02Z,16s,2015.149451,6.47168
2022-09-09T00:31:32Z,30s,2089.938617,6.508544
2022-09-09T00:31:47Z,15s,2106.160787,6.524928
2022-09-09T00:31:47Z,15s,2106.160787,6.524928
2022-09-09T00:32:06Z,19s,2103.822104,6.59456
2022-09-09T00:32:21Z,15s,2062.208179,6.610944
2022-09-09T00:32:39Z,18s,2127.423011,6.619136
2022-09-09T00:32:55Z,16s,2062.12037,6.668288
2022-09-09T00:33:09Z,14s,2081.927839,6.508544
2022-09-09T00:33:27Z,18s,2109.184864,6.729728
2022-09-09T00:33:42Z,15s,1955.696817,6.721536
