timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T15:33:44Z,18s,739.546684,5.722112
2022-09-08T15:33:55Z,11s,1172.741864,5.787648
2022-09-08T15:34:07Z,12s,926.150899,5.77536
2022-09-08T15:34:18Z,11s,1093.658993,5.81632
2022-09-08T15:34:33Z,15s,1576.810615,6.144
2022-09-08T15:34:52Z,19s,1142.887571,6.12352
2022-09-08T15:35:08Z,16s,1037.259364,6.152192
2022-09-08T15:35:28Z,20s,1004.261276,6.131712
2022-09-08T15:35:42Z,14s,1113.871705,6.139904
2022-09-08T15:35:54Z,12s,1125.357219,6.16448
2022-09-08T15:36:12Z,18s,936.926854,6.152192
2022-09-08T15:36:27Z,15s,1007.453127,6.144
2022-09-08T15:36:27Z,15s,1007.453127,6.144
2022-09-08T15:36:46Z,19s,1090.152548,6.152192
2022-09-08T15:37:03Z,17s,959.829422,6.172672
2022-09-08T15:37:28Z,25s,938.184437,6.168576
2022-09-08T15:37:41Z,13s,1213.214852,6.209536
2022-09-08T15:37:53Z,12s,948.926995,6.213632
2022-09-08T15:38:04Z,11s,1078.507316,6.217728
2022-09-08T15:38:17Z,13s,975.236769,6.238208
2022-09-08T15:38:34Z,17s,985.544242,6.22592
2022-09-08T15:38:52Z,18s,950.877546,6.238208
2022-09-08T15:39:07Z,15s,898.681352,6.238208
2022-09-08T15:39:22Z,15s,882.957854,6.221824
2022-09-08T15:39:34Z,12s,981.193743,6.234112
2022-09-08T15:39:54Z,20s,1073.465356,6.28736
2022-09-08T15:40:11Z,17s,1071.525882,0.006144
2022-09-08T15:40:28Z,17s,1071.692352,6.283264
