timestamp,window,cpu (millicores),memory (megabytes)
2022-09-08T15:28:41Z,16s,24.763009,5.156864
2022-09-08T15:28:58Z,17s,363.576629,6.311936
2022-09-08T15:28:58Z,17s,363.576629,6.311936
2022-09-08T15:29:17Z,19s,749.748246,6.950912
2022-09-08T15:29:37Z,20s,719.227499,7.053312
2022-09-08T15:29:54Z,17s,750.81694,6.90176
2022-09-08T15:30:06Z,12s,766.431435,7.02464
2022-09-08T15:30:29Z,23s,746.039136,7.08608
2022-09-08T15:30:29Z,23s,746.039136,7.08608
2022-09-08T15:30:58Z,29s,738.861617,7.122944
2022-09-08T15:31:12Z,14s,723.071876,6.742016
2022-09-08T15:31:12Z,14s,723.071876,6.742016
2022-09-08T15:31:30Z,18s,752.672044,6.742016
2022-09-08T15:31:46Z,16s,745.550827,7.069696
2022-09-08T15:32:13Z,27s,746.895007,7.417856
2022-09-08T15:32:13Z,27s,746.895007,7.417856
2022-09-08T15:32:43Z,30s,732.551497,7.233536
2022-09-08T15:32:54Z,11s,741.53856,6.930432
