timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T00:57:52Z,10s,167.955367,2383.056896
2022-09-09T00:58:13Z,21s,450.173772,2394.578944
2022-09-09T00:58:23Z,10s,406.599455,2394.591232
2022-09-09T00:58:43Z,20s,396.824277,2394.599424
2022-09-09T00:58:54Z,11s,357.068607,2395.467776
2022-09-09T00:59:14Z,20s,410.65875,2393.710592
2022-09-09T00:59:24Z,10s,422.016721,2393.874432
2022-09-09T00:59:44Z,20s,409.169366,2394.292224
2022-09-09T00:59:54Z,10s,425.472595,2394.824704
2022-09-09T01:00:14Z,20s,417.314932,2396.553216
2022-09-09T01:00:24Z,10s,420.040476,2396.762112
2022-09-09T01:00:45Z,21s,601.621389,2404.524032
2022-09-09T01:00:55Z,10s,832.549042,2402.22208
2022-09-09T01:01:15Z,20s,1200.226148,2396.020736
2022-09-09T01:01:25Z,10s,884.620945,2396.082176
2022-09-09T01:01:45Z,20s,1145.2497,2401.11616
2022-09-09T01:01:55Z,10s,1654.510901,2397.642752
2022-09-09T01:02:15Z,20s,1644.07513,2397.71648
2022-09-09T01:02:26Z,11s,1548.243147,2397.843456
2022-09-09T01:02:46Z,20s,1646.423485,2397.868032
2022-09-09T01:02:56Z,10s,1634.950599,2397.9008
2022-09-09T01:03:06Z,10s,1646.578664,2398.253056
2022-09-09T01:03:26Z,20s,1654.879914,2398.892032
2022-09-09T01:03:36Z,10s,1630.543381,2398.375936
2022-09-09T01:03:57Z,21s,1563.604787,2398.396416
2022-09-09T01:04:07Z,10s,1655.526567,2398.0032
2022-09-09T01:04:27Z,20s,1671.162273,2398.466048
2022-09-09T01:04:37Z,10s,1462.680413,2398.375936
2022-09-09T01:04:57Z,20s,2214.710439,2398.400512
2022-09-09T01:05:07Z,10s,2567.24115,2397.278208
2022-09-09T01:05:28Z,21s,2528.285969,2391.32672
2022-09-09T01:05:38Z,10s,3079.728687,2397.274112
2022-09-09T01:05:58Z,20s,2965.154085,2397.478912
2022-09-09T01:06:09Z,11s,2727.849208,2397.597696
2022-09-09T01:06:29Z,20s,3037.2621,2396.741632
2022-09-09T01:06:39Z,10s,2960.06642,2396.839936
2022-09-09T01:06:59Z,20s,2995.166581,2397.028352
2022-09-09T01:07:10Z,11s,2697.956964,2396.962816
2022-09-09T01:07:30Z,20s,2969.101687,2396.880896
2022-09-09T01:07:40Z,10s,3001.765897,2396.819456
2022-09-09T01:08:00Z,20s,3002.625101,2396.868608
2022-09-09T01:08:10Z,10s,3021.495679,2396.99968
2022-09-09T01:08:31Z,21s,2831.876316,2397.12256
2022-09-09T01:08:41Z,10s,2986.827236,2397.175808
2022-09-09T01:08:51Z,10s,3019.812945,2397.216768
2022-09-09T01:09:11Z,20s,2956.72768,2396.672
2022-09-09T01:09:21Z,10s,3015.743414,2396.69248
2022-09-09T01:09:42Z,21s,2877.372624,2396.59008
2022-09-09T01:09:52Z,10s,3026.076691,2396.618752
2022-09-09T01:10:12Z,20s,2986.629195,2396.667904
2022-09-09T01:10:22Z,10s,3008.555108,2396.745728
2022-09-09T01:10:43Z,21s,2824.39041,2396.004352
2022-09-09T01:10:53Z,10s,3010.129786,2396.106752
2022-09-09T01:11:13Z,20s,2986.435741,2395.58656
2022-09-09T01:11:23Z,10s,2918.379379,2395.779072
2022-09-09T01:11:43Z,20s,3018.604061,2395.697152
2022-09-09T01:11:53Z,10s,3016.05714,2395.766784
2022-09-09T01:12:14Z,21s,2863.511267,2395.983872
2022-09-09T01:12:24Z,10s,3092.74942,2395.840512
2022-09-09T01:12:44Z,20s,2984.6471,2389.000192
