timestamp,window,cpu (millicores),memory (megabytes)
2022-09-09T01:04:45Z,14s,300.013187,5.517312
2022-09-09T01:04:56Z,11s,1022.64167,5.697536
2022-09-09T01:05:14Z,18s,1018.51842,5.746688
2022-09-09T01:05:14Z,18s,1018.51842,5.746688
2022-09-09T01:05:34Z,20s,1475.127074,5.935104
2022-09-09T01:05:54Z,20s,1215.084538,6.025216
2022-09-09T01:06:10Z,16s,1083.582938,6.033408
2022-09-09T01:06:28Z,18s,1003.291795,6.045696
2022-09-09T01:06:43Z,15s,998.025235,6.033408
2022-09-09T01:06:56Z,13s,1052.65113,6.017024
2022-09-09T01:07:15Z,19s,1095.34223,6.053888
2022-09-09T01:07:29Z,14s,1163.201419,6.0416
2022-09-09T01:07:29Z,14s,1163.201419,6.0416
2022-09-09T01:07:59Z,30s,972.237061,6.037504
2022-09-09T01:08:11Z,12s,943.701502,6.045696
2022-09-09T01:08:30Z,19s,1029.597861,6.033408
2022-09-09T01:08:30Z,19s,1029.597861,6.033408
2022-09-09T01:08:48Z,18s,1052.288664,6.094848
2022-09-09T01:09:06Z,18s,1115.701069,6.074368
2022-09-09T01:09:23Z,17s,992.795053,6.074368
2022-09-09T01:09:42Z,19s,1217.746943,6.160384
2022-09-09T01:09:55Z,13s,1109.540474,6.144
2022-09-09T01:10:06Z,11s,1151.152056,6.148096
2022-09-09T01:10:24Z,18s,1028.543097,6.197248
2022-09-09T01:10:43Z,19s,933.281589,6.258688
2022-09-09T01:11:00Z,17s,975.368841,6.238208
2022-09-09T01:11:12Z,12s,1073.61382,6.365184
2022-09-09T01:11:12Z,12s,1073.61382,6.365184
2022-09-09T01:11:44Z,32s,1010.274732,6.20544
2022-09-09T01:11:58Z,14s,1079.702828,6.193152
2022-09-09T01:12:09Z,11s,996.814032,6.193152
2022-09-09T01:12:26Z,17s,1003.891949,6.217728
2022-09-09T01:12:43Z,17s,2078.467655,6.402048
